size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 0.075577, SpeedUp: 0.711000, Eff: 0.711000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 0.039002, SpeedUp: 1.377000, Eff: 0.689000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 0.027306, SpeedUp: 1.974000, Eff: 0.657000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 0.021728, SpeedUp: 2.491000, Eff: 0.625000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 0.022899, SpeedUp: 2.362000, Eff: 0.473000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 0.022482, SpeedUp: 2.412000, Eff: 0.403000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 0.022330, SpeedUp: 2.434000, Eff: 0.349000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 0.023175, SpeedUp: 2.349000, Eff: 0.295000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 0.022359, SpeedUp: 2.412000, Eff: 0.267000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 0.024607, SpeedUp: 2.197000, Eff: 0.220000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 0.024816, SpeedUp: 2.169000, Eff: 0.198000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 0.022285, SpeedUp: 2.419000, Eff: 0.202000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 0.075167, SpeedUp: 0.714000, Eff: 0.714000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 0.041219, SpeedUp: 1.313000, Eff: 0.655000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 0.026538, SpeedUp: 2.030000, Eff: 0.679000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 0.022110, SpeedUp: 2.451000, Eff: 0.613000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 0.019951, SpeedUp: 2.710000, Eff: 0.542000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 0.020286, SpeedUp: 2.658000, Eff: 0.442000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 0.020506, SpeedUp: 2.626000, Eff: 0.375000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 0.020642, SpeedUp: 2.605000, Eff: 0.325000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 0.020660, SpeedUp: 2.604000, Eff: 0.289000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 0.021198, SpeedUp: 2.538000, Eff: 0.254000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 0.021465, SpeedUp: 2.506000, Eff: 0.225000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 0.021830, SpeedUp: 2.466000, Eff: 0.205000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 0.077007, SpeedUp: 0.697000, Eff: 0.697000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 0.040871, SpeedUp: 1.326000, Eff: 0.663000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 0.027470, SpeedUp: 1.968000, Eff: 0.657000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 0.021697, SpeedUp: 2.498000, Eff: 0.625000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 0.020222, SpeedUp: 2.683000, Eff: 0.536000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 0.019896, SpeedUp: 2.705000, Eff: 0.450000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 0.020379, SpeedUp: 2.639000, Eff: 0.378000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 0.020718, SpeedUp: 2.595000, Eff: 0.325000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 0.020899, SpeedUp: 2.572000, Eff: 0.285000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 0.021257, SpeedUp: 2.532000, Eff: 0.254000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 0.021429, SpeedUp: 2.509000, Eff: 0.227000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 0.021875, SpeedUp: 2.459000, Eff: 0.205000, trueg: 1000
