size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 0.261537, SpeedUp: 1.734000, Eff: 1.734000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 0.282394, SpeedUp: 1.573000, Eff: 0.789000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 0.223493, SpeedUp: 1.946000, Eff: 0.649000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 0.222577, SpeedUp: 1.949000, Eff: 0.486000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 0.226551, SpeedUp: 1.918000, Eff: 0.384000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 0.238639, SpeedUp: 1.821000, Eff: 0.304000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 0.242714, SpeedUp: 1.788000, Eff: 0.255000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 0.246875, SpeedUp: 1.761000, Eff: 0.220000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 0.249610, SpeedUp: 1.740000, Eff: 0.194000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 0.250163, SpeedUp: 1.738000, Eff: 0.173000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 0.250443, SpeedUp: 1.736000, Eff: 0.159000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 0.253551, SpeedUp: 1.717000, Eff: 0.142000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 0.222563, SpeedUp: 1.954000, Eff: 1.954000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 0.188876, SpeedUp: 2.302000, Eff: 1.150000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 0.184092, SpeedUp: 2.358000, Eff: 0.786000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 0.191792, SpeedUp: 2.270000, Eff: 0.568000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 0.195007, SpeedUp: 2.225000, Eff: 0.444000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 0.202761, SpeedUp: 2.143000, Eff: 0.357000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 0.210243, SpeedUp: 2.070000, Eff: 0.295000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 0.216877, SpeedUp: 2.010000, Eff: 0.250000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 0.222806, SpeedUp: 1.954000, Eff: 0.217000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 0.228791, SpeedUp: 1.900000, Eff: 0.190000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 0.231027, SpeedUp: 1.881000, Eff: 0.170000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 0.237224, SpeedUp: 1.836000, Eff: 0.153000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 0.251987, SpeedUp: 1.724000, Eff: 1.724000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 0.220894, SpeedUp: 1.965000, Eff: 0.982000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 0.217276, SpeedUp: 1.997000, Eff: 0.665000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 0.215913, SpeedUp: 2.011000, Eff: 0.502000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 0.216837, SpeedUp: 2.006000, Eff: 0.400000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 0.227932, SpeedUp: 1.915000, Eff: 0.319000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 0.225628, SpeedUp: 1.928000, Eff: 0.275000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 0.226602, SpeedUp: 1.924000, Eff: 0.242000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 0.231566, SpeedUp: 1.883000, Eff: 0.209000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 0.229096, SpeedUp: 1.896000, Eff: 0.191000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 0.232104, SpeedUp: 1.873000, Eff: 0.170000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 0.232686, SpeedUp: 1.865000, Eff: 0.156000, trueg: 1000
