size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 0.803176, SpeedUp: 1.370000, Eff: 1.370000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 0.456889, SpeedUp: 2.421000, Eff: 1.209000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 0.327648, SpeedUp: 3.379000, Eff: 1.127000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 0.266097, SpeedUp: 4.163000, Eff: 1.041000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 0.240578, SpeedUp: 4.616000, Eff: 0.923000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 0.212246, SpeedUp: 5.210000, Eff: 0.869000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 0.196666, SpeedUp: 5.603000, Eff: 0.801000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 0.185575, SpeedUp: 5.933000, Eff: 0.740000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 0.178145, SpeedUp: 6.188000, Eff: 0.688000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 0.168708, SpeedUp: 6.529000, Eff: 0.654000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 0.172793, SpeedUp: 6.379000, Eff: 0.580000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 0.162068, SpeedUp: 6.818000, Eff: 0.569000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 0.776579, SpeedUp: 1.417000, Eff: 1.417000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 0.441803, SpeedUp: 2.507000, Eff: 1.254000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 0.314378, SpeedUp: 3.516000, Eff: 1.172000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 0.255917, SpeedUp: 4.316000, Eff: 1.078000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 0.223627, SpeedUp: 4.939000, Eff: 0.987000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 0.199893, SpeedUp: 5.537000, Eff: 0.921000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 0.187991, SpeedUp: 5.865000, Eff: 0.839000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 0.173175, SpeedUp: 6.356000, Eff: 0.795000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 0.167705, SpeedUp: 6.575000, Eff: 0.731000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 0.161181, SpeedUp: 6.822000, Eff: 0.684000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 0.153896, SpeedUp: 7.151000, Eff: 0.650000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 0.149170, SpeedUp: 7.374000, Eff: 0.615000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 0.775112, SpeedUp: 1.418000, Eff: 1.418000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 0.446838, SpeedUp: 2.475000, Eff: 1.236000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 0.320072, SpeedUp: 3.465000, Eff: 1.155000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 0.257552, SpeedUp: 4.296000, Eff: 1.072000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 0.222968, SpeedUp: 4.957000, Eff: 0.991000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 0.192660, SpeedUp: 5.738000, Eff: 0.957000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 0.184863, SpeedUp: 5.964000, Eff: 0.852000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 0.172695, SpeedUp: 6.372000, Eff: 0.797000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 0.164198, SpeedUp: 6.705000, Eff: 0.745000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 0.159524, SpeedUp: 6.895000, Eff: 0.690000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 0.152343, SpeedUp: 7.218000, Eff: 0.656000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 0.149010, SpeedUp: 7.388000, Eff: 0.615000, trueg: 1000
