size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 10.435692, SpeedUp: 1.014000, Eff: 1.014000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 6.162658, SpeedUp: 1.732000, Eff: 0.866000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 5.603270, SpeedUp: 1.932000, Eff: 0.642000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 5.800390, SpeedUp: 1.824000, Eff: 0.456000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 5.300918, SpeedUp: 2.078000, Eff: 0.414000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 5.768410, SpeedUp: 1.836000, Eff: 0.306000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 5.261218, SpeedUp: 2.092000, Eff: 0.300000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 4.421762, SpeedUp: 2.534000, Eff: 0.318000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 5.752930, SpeedUp: 1.838000, Eff: 0.204000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 4.386614, SpeedUp: 2.552000, Eff: 0.254000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 5.292040, SpeedUp: 2.074000, Eff: 0.190000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 3.947000, SpeedUp: 2.784000, Eff: 0.230000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 10.397686, SpeedUp: 1.016000, Eff: 1.016000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 5.843726, SpeedUp: 1.810000, Eff: 0.906000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 4.437914, SpeedUp: 2.392000, Eff: 0.796000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 3.815360, SpeedUp: 2.804000, Eff: 0.698000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 3.455962, SpeedUp: 3.082000, Eff: 0.616000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 3.341908, SpeedUp: 3.198000, Eff: 0.530000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 3.385774, SpeedUp: 3.182000, Eff: 0.454000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 3.043262, SpeedUp: 3.476000, Eff: 0.434000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 3.265568, SpeedUp: 3.294000, Eff: 0.366000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 3.022602, SpeedUp: 3.504000, Eff: 0.350000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 3.056746, SpeedUp: 3.468000, Eff: 0.314000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 3.067254, SpeedUp: 3.450000, Eff: 0.288000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 10.561594, SpeedUp: 1.004000, Eff: 1.004000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 5.970336, SpeedUp: 1.780000, Eff: 0.892000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 4.332458, SpeedUp: 2.448000, Eff: 0.816000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 3.720538, SpeedUp: 2.858000, Eff: 0.714000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 3.208350, SpeedUp: 3.302000, Eff: 0.660000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 3.091238, SpeedUp: 3.430000, Eff: 0.572000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 2.946200, SpeedUp: 3.604000, Eff: 0.516000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 2.871714, SpeedUp: 3.688000, Eff: 0.460000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 2.858190, SpeedUp: 3.716000, Eff: 0.412000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 3.061990, SpeedUp: 3.470000, Eff: 0.346000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 3.587478, SpeedUp: 3.146000, Eff: 0.286000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 3.416690, SpeedUp: 3.136000, Eff: 0.262000, trueg: 1000
