size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 7.894962, SpeedUp: 1.008000, Eff: 1.008000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 4.832362, SpeedUp: 1.672000, Eff: 0.838000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 4.796230, SpeedUp: 1.772000, Eff: 0.590000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 4.652536, SpeedUp: 1.712000, Eff: 0.428000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 4.209356, SpeedUp: 1.978000, Eff: 0.396000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 3.876724, SpeedUp: 2.136000, Eff: 0.358000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 4.415242, SpeedUp: 1.806000, Eff: 0.258000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 4.220894, SpeedUp: 2.028000, Eff: 0.252000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 3.202522, SpeedUp: 2.568000, Eff: 0.286000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 3.925402, SpeedUp: 2.078000, Eff: 0.206000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 4.576148, SpeedUp: 1.740000, Eff: 0.158000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 3.578428, SpeedUp: 2.278000, Eff: 0.192000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 8.015792, SpeedUp: 0.996000, Eff: 0.996000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 4.867426, SpeedUp: 1.638000, Eff: 0.820000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 3.121006, SpeedUp: 2.558000, Eff: 0.854000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 2.517726, SpeedUp: 3.182000, Eff: 0.794000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 2.411870, SpeedUp: 3.370000, Eff: 0.672000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 1.946034, SpeedUp: 4.114000, Eff: 0.684000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 1.776990, SpeedUp: 4.488000, Eff: 0.642000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 1.997092, SpeedUp: 4.152000, Eff: 0.518000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 1.628106, SpeedUp: 4.920000, Eff: 0.546000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 1.892396, SpeedUp: 4.402000, Eff: 0.440000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 1.570126, SpeedUp: 5.098000, Eff: 0.462000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 1.691032, SpeedUp: 4.758000, Eff: 0.396000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 7.837228, SpeedUp: 1.016000, Eff: 1.016000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 4.439236, SpeedUp: 1.804000, Eff: 0.902000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 3.017074, SpeedUp: 2.654000, Eff: 0.884000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 2.450452, SpeedUp: 3.254000, Eff: 0.812000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 2.058002, SpeedUp: 3.890000, Eff: 0.778000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 1.823546, SpeedUp: 4.378000, Eff: 0.730000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 1.630572, SpeedUp: 4.886000, Eff: 0.700000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 1.605242, SpeedUp: 4.978000, Eff: 0.622000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 1.488004, SpeedUp: 5.354000, Eff: 0.594000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 1.472870, SpeedUp: 5.418000, Eff: 0.542000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 1.485446, SpeedUp: 5.386000, Eff: 0.490000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 1.487772, SpeedUp: 5.386000, Eff: 0.448000, trueg: 1000
