size: 100000000, g: 2, threads: 1, timeS: 1.21017, timeP: 0.79225, SpeedUp: 1.53, Eff: 1.53, trueg: 2
size: 100000000, g: 2, threads: 2, timeS: 1.21017, timeP: 0.42872, SpeedUp: 2.82, Eff: 1.41, trueg: 2
size: 100000000, g: 2, threads: 3, timeS: 1.21017, timeP: 0.43036, SpeedUp: 2.81, Eff: 0.94, trueg: 2
size: 100000000, g: 2, threads: 4, timeS: 1.21017, timeP: 0.43142, SpeedUp: 2.81, Eff: 0.70, trueg: 2
size: 100000000, g: 2, threads: 5, timeS: 1.21017, timeP: 0.42623, SpeedUp: 2.84, Eff: 0.57, trueg: 2
size: 100000000, g: 2, threads: 6, timeS: 1.21017, timeP: 0.42234, SpeedUp: 2.87, Eff: 0.48, trueg: 2
size: 100000000, g: 2, threads: 7, timeS: 1.21017, timeP: 0.43827, SpeedUp: 2.76, Eff: 0.39, trueg: 2
size: 100000000, g: 2, threads: 8, timeS: 1.21017, timeP: 0.42017, SpeedUp: 2.88, Eff: 0.36, trueg: 2
size: 100000000, g: 2, threads: 9, timeS: 1.21017, timeP: 0.42377, SpeedUp: 2.86, Eff: 0.32, trueg: 2
size: 100000000, g: 2, threads: 10, timeS: 1.21017, timeP: 0.41653, SpeedUp: 2.91, Eff: 0.29, trueg: 2
size: 100000000, g: 2, threads: 11, timeS: 1.21017, timeP: 0.46876, SpeedUp: 2.58, Eff: 0.23, trueg: 2
size: 100000000, g: 2, threads: 12, timeS: 1.21017, timeP: 0.42809, SpeedUp: 2.83, Eff: 0.24, trueg: 2
size: 100000000, g: 3, threads: 1, timeS: 1.21017, timeP: 0.78244, SpeedUp: 1.55, Eff: 1.55, trueg: 3
size: 100000000, g: 3, threads: 2, timeS: 1.21017, timeP: 0.42419, SpeedUp: 2.85, Eff: 1.43, trueg: 3
size: 100000000, g: 3, threads: 3, timeS: 1.21017, timeP: 0.30640, SpeedUp: 3.95, Eff: 1.32, trueg: 3
