size: 100000000, g: 2, threads: 1, timeS: 11.31248, timeP: 11.28994, SpeedUp: 1.00, Eff: 1.00, trueg: 2
size: 100000000, g: 2, threads: 2, timeS: 11.31248, timeP: 5.99154, SpeedUp: 1.89, Eff: 0.94, trueg: 2
size: 100000000, g: 2, threads: 3, timeS: 11.31248, timeP: 5.97632, SpeedUp: 1.89, Eff: 0.63, trueg: 2
size: 100000000, g: 2, threads: 4, timeS: 11.31248, timeP: 6.14487, SpeedUp: 1.84, Eff: 0.46, trueg: 2
size: 100000000, g: 2, threads: 5, timeS: 11.31248, timeP: 5.93661, SpeedUp: 1.91, Eff: 0.38, trueg: 2
size: 100000000, g: 2, threads: 6, timeS: 11.31248, timeP: 5.98228, SpeedUp: 1.89, Eff: 0.32, trueg: 2
size: 100000000, g: 2, threads: 7, timeS: 11.31248, timeP: 6.05580, SpeedUp: 1.87, Eff: 0.27, trueg: 2
size: 100000000, g: 2, threads: 8, timeS: 11.31248, timeP: 6.04720, SpeedUp: 1.87, Eff: 0.23, trueg: 2
size: 100000000, g: 2, threads: 9, timeS: 11.31248, timeP: 5.98167, SpeedUp: 1.89, Eff: 0.21, trueg: 2
size: 100000000, g: 2, threads: 10, timeS: 11.31248, timeP: 5.94653, SpeedUp: 1.90, Eff: 0.19, trueg: 2
size: 100000000, g: 2, threads: 11, timeS: 11.31248, timeP: 5.97953, SpeedUp: 1.89, Eff: 0.17, trueg: 2
size: 100000000, g: 2, threads: 12, timeS: 11.31248, timeP: 6.03313, SpeedUp: 1.88, Eff: 0.16, trueg: 2
size: 100000000, g: 3, threads: 1, timeS: 11.31248, timeP: 11.03865, SpeedUp: 1.02, Eff: 1.02, trueg: 3
size: 100000000, g: 3, threads: 2, timeS: 11.31248, timeP: 7.18082, SpeedUp: 1.58, Eff: 0.79, trueg: 3
size: 100000000, g: 3, threads: 3, timeS: 11.31248, timeP: 6.01432, SpeedUp: 1.88, Eff: 0.63, trueg: 3
size: 100000000, g: 3, threads: 4, timeS: 11.31248, timeP: 5.89605, SpeedUp: 1.92, Eff: 0.48, trueg: 3
size: 100000000, g: 3, threads: 5, timeS: 11.31248, timeP: 6.00870, SpeedUp: 1.88, Eff: 0.38, trueg: 3
size: 100000000, g: 3, threads: 6, timeS: 11.31248, timeP: 6.02317, SpeedUp: 1.88, Eff: 0.31, trueg: 3
size: 100000000, g: 3, threads: 7, timeS: 11.31248, timeP: 6.05810, SpeedUp: 1.87, Eff: 0.27, trueg: 3
size: 100000000, g: 3, threads: 8, timeS: 11.31248, timeP: 5.99162, SpeedUp: 1.89, Eff: 0.24, trueg: 3
size: 100000000, g: 3, threads: 9, timeS: 11.31248, timeP: 5.99097, SpeedUp: 1.89, Eff: 0.21, trueg: 3
size: 100000000, g: 3, threads: 10, timeS: 11.31248, timeP: 6.02179, SpeedUp: 1.88, Eff: 0.19, trueg: 3
size: 100000000, g: 3, threads: 11, timeS: 11.31248, timeP: 5.89411, SpeedUp: 1.92, Eff: 0.17, trueg: 3
size: 100000000, g: 3, threads: 12, timeS: 11.31248, timeP: 5.98160, SpeedUp: 1.89, Eff: 0.16, trueg: 3
size: 100000000, g: 4, threads: 1, timeS: 11.31248, timeP: 10.95974, SpeedUp: 1.03, Eff: 1.03, trueg: 4
size: 100000000, g: 4, threads: 2, timeS: 11.31248, timeP: 7.21548, SpeedUp: 1.57, Eff: 0.78, trueg: 4
size: 100000000, g: 4, threads: 3, timeS: 11.31248, timeP: 5.97018, SpeedUp: 1.89, Eff: 0.63, trueg: 4
size: 100000000, g: 4, threads: 4, timeS: 11.31248, timeP: 5.99787, SpeedUp: 1.89, Eff: 0.47, trueg: 4
size: 100000000, g: 4, threads: 5, timeS: 11.31248, timeP: 5.99138, SpeedUp: 1.89, Eff: 0.38, trueg: 4
size: 100000000, g: 4, threads: 6, timeS: 11.31248, timeP: 5.96390, SpeedUp: 1.90, Eff: 0.32, trueg: 4
size: 100000000, g: 4, threads: 7, timeS: 11.31248, timeP: 5.91212, SpeedUp: 1.91, Eff: 0.27, trueg: 4
size: 100000000, g: 4, threads: 8, timeS: 11.31248, timeP: 5.96036, SpeedUp: 1.90, Eff: 0.24, trueg: 4
size: 100000000, g: 4, threads: 9, timeS: 11.31248, timeP: 5.94229, SpeedUp: 1.90, Eff: 0.21, trueg: 4
size: 100000000, g: 4, threads: 10, timeS: 11.31248, timeP: 5.96380, SpeedUp: 1.90, Eff: 0.19, trueg: 4
