size: 100000000, g: 2, threads: 1, timeS: 7.93503, timeP: 7.85882, SpeedUp: 1.01, Eff: 1.01, trueg: 0
size: 100000000, g: 2, threads: 2, timeS: 7.93503, timeP: 6.48932, SpeedUp: 1.22, Eff: 0.61, trueg: 0
size: 100000000, g: 2, threads: 3, timeS: 7.93503, timeP: 6.38279, SpeedUp: 1.24, Eff: 0.41, trueg: 0
size: 100000000, g: 2, threads: 4, timeS: 7.93503, timeP: 6.45171, SpeedUp: 1.23, Eff: 0.31, trueg: 0
size: 100000000, g: 2, threads: 5, timeS: 7.93503, timeP: 6.46178, SpeedUp: 1.23, Eff: 0.25, trueg: 0
size: 100000000, g: 2, threads: 6, timeS: 7.93503, timeP: 6.45007, SpeedUp: 1.23, Eff: 0.21, trueg: 0
size: 100000000, g: 2, threads: 7, timeS: 7.93503, timeP: 6.50437, SpeedUp: 1.22, Eff: 0.17, trueg: 0
size: 100000000, g: 2, threads: 8, timeS: 7.93503, timeP: 6.48616, SpeedUp: 1.22, Eff: 0.15, trueg: 0
size: 100000000, g: 2, threads: 9, timeS: 7.93503, timeP: 6.46212, SpeedUp: 1.23, Eff: 0.14, trueg: 0
size: 100000000, g: 2, threads: 10, timeS: 7.93503, timeP: 6.47639, SpeedUp: 1.23, Eff: 0.12, trueg: 0
size: 100000000, g: 2, threads: 11, timeS: 7.93503, timeP: 6.47800, SpeedUp: 1.22, Eff: 0.11, trueg: 0
size: 100000000, g: 2, threads: 12, timeS: 7.93503, timeP: 6.48669, SpeedUp: 1.22, Eff: 0.10, trueg: 0
size: 100000000, g: 3, threads: 1, timeS: 7.93503, timeP: 7.89013, SpeedUp: 1.01, Eff: 1.01, trueg: 0
size: 100000000, g: 3, threads: 2, timeS: 7.93503, timeP: 4.96699, SpeedUp: 1.60, Eff: 0.80, trueg: 0
size: 100000000, g: 3, threads: 3, timeS: 7.93503, timeP: 4.64559, SpeedUp: 1.71, Eff: 0.57, trueg: 0
size: 100000000, g: 3, threads: 4, timeS: 7.93503, timeP: 4.56596, SpeedUp: 1.74, Eff: 0.43, trueg: 0
size: 100000000, g: 3, threads: 5, timeS: 7.93503, timeP: 4.60467, SpeedUp: 1.72, Eff: 0.34, trueg: 0
size: 100000000, g: 3, threads: 6, timeS: 7.93503, timeP: 4.57184, SpeedUp: 1.74, Eff: 0.29, trueg: 0
