
size: 100000000, g: 2, threads: 1, timeS: 0.64785, timeP: 0.29293, SpeedUp: 2.21, Eff: 2.21, trueg: 2
size: 100000000, g: 2, threads: 2, timeS: 0.64785, timeP: 0.34070, SpeedUp: 1.90, Eff: 0.95, trueg: 2
size: 100000000, g: 2, threads: 3, timeS: 0.64785, timeP: 0.24192, SpeedUp: 2.68, Eff: 0.89, trueg: 2
size: 100000000, g: 2, threads: 4, timeS: 0.64785, timeP: 0.23903, SpeedUp: 2.71, Eff: 0.68, trueg: 2
size: 100000000, g: 2, threads: 5, timeS: 0.64785, timeP: 0.24204, SpeedUp: 2.68, Eff: 0.54, trueg: 2
size: 100000000, g: 2, threads: 6, timeS: 0.64785, timeP: 0.23960, SpeedUp: 2.70, Eff: 0.45, trueg: 2
size: 100000000, g: 2, threads: 7, timeS: 0.64785, timeP: 0.25259, SpeedUp: 2.56, Eff: 0.37, trueg: 2
size: 100000000, g: 2, threads: 8, timeS: 0.64785, timeP: 0.23289, SpeedUp: 2.78, Eff: 0.35, trueg: 2
size: 100000000, g: 2, threads: 9, timeS: 0.64785, timeP: 0.21661, SpeedUp: 2.99, Eff: 0.33, trueg: 2
size: 100000000, g: 2, threads: 10, timeS: 0.64785, timeP: 0.22126, SpeedUp: 2.93, Eff: 0.29, trueg: 2
size: 100000000, g: 2, threads: 11, timeS: 0.64785, timeP: 0.21471, SpeedUp: 3.02, Eff: 0.27, trueg: 2
size: 100000000, g: 2, threads: 12, timeS: 0.64785, timeP: 0.22515, SpeedUp: 2.88, Eff: 0.24, trueg: 2
size: 100000000, g: 3, threads: 1, timeS: 0.64785, timeP: 0.23758, SpeedUp: 2.73, Eff: 2.73, trueg: 3
size: 100000000, g: 3, threads: 2, timeS: 0.64785, timeP: 0.22053, SpeedUp: 2.94, Eff: 1.47, trueg: 3
size: 100000000, g: 3, threads: 3, timeS: 0.64785, timeP: 0.20947, SpeedUp: 3.09, Eff: 1.03, trueg: 3
size: 100000000, g: 3, threads: 4, timeS: 0.64785, timeP: 0.21011, SpeedUp: 3.08, Eff: 0.77, trueg: 3
size: 100000000, g: 3, threads: 5, timeS: 0.64785, timeP: 0.22463, SpeedUp: 2.88, Eff: 0.58, trueg: 3
size: 100000000, g: 3, threads: 6, timeS: 0.64785, timeP: 0.20944, SpeedUp: 3.09, Eff: 0.52, trueg: 3
size: 100000000, g: 3, threads: 7, timeS: 0.64785, timeP: 0.21366, SpeedUp: 3.03, Eff: 0.43, trueg: 3
size: 100000000, g: 3, threads: 8, timeS: 0.64785, timeP: 0.21418, SpeedUp: 3.02, Eff: 0.38, trueg: 3
size: 100000000, g: 3, threads: 9, timeS: 0.64785, timeP: 0.21908, SpeedUp: 2.96, Eff: 0.33, trueg: 3
size: 100000000, g: 3, threads: 10, timeS: 0.64785, timeP: 0.21364, SpeedUp: 3.03, Eff: 0.30, trueg: 3
size: 100000000, g: 3, threads: 11, timeS: 0.64785, timeP: 0.21252, SpeedUp: 3.05, Eff: 0.28, trueg: 3
size: 100000000, g: 3, threads: 12, timeS: 0.64785, timeP: 0.21504, SpeedUp: 3.01, Eff: 0.25, trueg: 3
size: 100000000, g: 4, threads: 1, timeS: 0.64785, timeP: 0.23642, SpeedUp: 2.74, Eff: 2.74, trueg: 4
size: 100000000, g: 4, threads: 2, timeS: 0.64785, timeP: 0.21920, SpeedUp: 2.96, Eff: 1.48, trueg: 4
size: 100000000, g: 4, threads: 3, timeS: 0.64785, timeP: 0.22668, SpeedUp: 2.86, Eff: 0.95, trueg: 4
size: 100000000, g: 4, threads: 4, timeS: 0.64785, timeP: 0.21400, SpeedUp: 3.03, Eff: 0.76, trueg: 4
size: 100000000, g: 4, threads: 5, timeS: 0.64785, timeP: 0.21554, SpeedUp: 3.01, Eff: 0.60, trueg: 4
size: 100000000, g: 4, threads: 6, timeS: 0.64785, timeP: 0.21383, SpeedUp: 3.03, Eff: 0.50, trueg: 4
size: 100000000, g: 4, threads: 7, timeS: 0.64785, timeP: 0.22509, SpeedUp: 2.88, Eff: 0.41, trueg: 4
size: 100000000, g: 4, threads: 8, timeS: 0.64785, timeP: 0.21412, SpeedUp: 3.03, Eff: 0.38, trueg: 4
size: 100000000, g: 4, threads: 9, timeS: 0.64785, timeP: 0.22491, SpeedUp: 2.88, Eff: 0.32, trueg: 4
size: 100000000, g: 4, threads: 10, timeS: 0.64785, timeP: 0.21624, SpeedUp: 3.00, Eff: 0.30, trueg: 4
size: 100000000, g: 4, threads: 11, timeS: 0.64785, timeP: 0.22084, SpeedUp: 2.93, Eff: 0.27, trueg: 4
size: 100000000, g: 4, threads: 12, timeS: 0.64785, timeP: 0.21221, SpeedUp: 3.05, Eff: 0.25, trueg: 4
size: 100000000, g: 5, threads: 1, timeS: 0.64785, timeP: 0.23652, SpeedUp: 2.74, Eff: 2.74, trueg: 5
size: 100000000, g: 5, threads: 2, timeS: 0.64785, timeP: 0.21676, SpeedUp: 2.99, Eff: 1.49, trueg: 5
size: 100000000, g: 5, threads: 3, timeS: 0.64785, timeP: 0.21513, SpeedUp: 3.01, Eff: 1.00, trueg: 5
size: 100000000, g: 5, threads: 4, timeS: 0.64785, timeP: 0.21634, SpeedUp: 2.99, Eff: 0.75, trueg: 5
size: 100000000, g: 5, threads: 5, timeS: 0.64785, timeP: 0.22095, SpeedUp: 2.93, Eff: 0.59, trueg: 5
size: 100000000, g: 5, threads: 6, timeS: 0.64785, timeP: 0.22246, SpeedUp: 2.91, Eff: 0.49, trueg: 5
size: 100000000, g: 5, threads: 7, timeS: 0.64785, timeP: 0.23685, SpeedUp: 2.74, Eff: 0.39, trueg: 5
size: 100000000, g: 5, threads: 8, timeS: 0.64785, timeP: 0.24080, SpeedUp: 2.69, Eff: 0.34, trueg: 5
size: 100000000, g: 5, threads: 9, timeS: 0.64785, timeP: 0.23913, SpeedUp: 2.71, Eff: 0.30, trueg: 5
size: 100000000, g: 5, threads: 10, timeS: 0.64785, timeP: 0.23547, SpeedUp: 2.75, Eff: 0.28, trueg: 5
size: 100000000, g: 5, threads: 11, timeS: 0.64785, timeP: 0.23319, SpeedUp: 2.78, Eff: 0.25, trueg: 5
size: 100000000, g: 5, threads: 12, timeS: 0.64785, timeP: 0.24765, SpeedUp: 2.62, Eff: 0.22, trueg: 5
size: 100000000, g: 6, threads: 1, timeS: 0.64785, timeP: 0.29313, SpeedUp: 2.21, Eff: 2.21, trueg: 6
size: 100000000, g: 6, threads: 2, timeS: 0.64785, timeP: 0.22248, SpeedUp: 2.91, Eff: 1.46, trueg: 6
size: 100000000, g: 6, threads: 3, timeS: 0.64785, timeP: 0.21518, SpeedUp: 3.01, Eff: 1.00, trueg: 6
size: 100000000, g: 6, threads: 4, timeS: 0.64785, timeP: 0.22381, SpeedUp: 2.89, Eff: 0.72, trueg: 6
size: 100000000, g: 6, threads: 5, timeS: 0.64785, timeP: 0.23319, SpeedUp: 2.78, Eff: 0.56, trueg: 6
size: 100000000, g: 6, threads: 6, timeS: 0.64785, timeP: 0.22347, SpeedUp: 2.90, Eff: 0.48, trueg: 6
