size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 0.078886, SpeedUp: 1.000000, Eff: 1.000000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 0.045116, SpeedUp: 1.792000, Eff: 0.896000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 0.027454, SpeedUp: 2.878000, Eff: 0.958000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 0.021556, SpeedUp: 3.660000, Eff: 0.914000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 0.022230, SpeedUp: 3.550000, Eff: 0.712000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 0.021132, SpeedUp: 3.746000, Eff: 0.626000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 0.023122, SpeedUp: 3.416000, Eff: 0.486000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 0.023450, SpeedUp: 3.412000, Eff: 0.426000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 0.023240, SpeedUp: 3.404000, Eff: 0.380000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 0.025962, SpeedUp: 3.064000, Eff: 0.308000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 0.025820, SpeedUp: 3.072000, Eff: 0.280000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 0.022472, SpeedUp: 3.514000, Eff: 0.290000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 0.078686, SpeedUp: 1.000000, Eff: 1.000000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 0.039626, SpeedUp: 1.986000, Eff: 0.994000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 0.027822, SpeedUp: 2.852000, Eff: 0.950000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 0.021716, SpeedUp: 3.642000, Eff: 0.910000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 0.020416, SpeedUp: 3.888000, Eff: 0.776000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 0.020220, SpeedUp: 3.900000, Eff: 0.650000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 0.020422, SpeedUp: 3.858000, Eff: 0.550000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 0.020426, SpeedUp: 3.856000, Eff: 0.482000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 0.020770, SpeedUp: 3.794000, Eff: 0.420000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 0.021656, SpeedUp: 3.634000, Eff: 0.364000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 0.021518, SpeedUp: 3.658000, Eff: 0.332000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 0.021752, SpeedUp: 3.620000, Eff: 0.300000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 0.079672, SpeedUp: 1.000000, Eff: 1.000000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 0.039828, SpeedUp: 2.002000, Eff: 1.002000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 0.027318, SpeedUp: 2.922000, Eff: 0.974000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 0.022320, SpeedUp: 3.586000, Eff: 0.896000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 0.019922, SpeedUp: 4.006000, Eff: 0.802000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 0.020020, SpeedUp: 3.982000, Eff: 0.664000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 0.020426, SpeedUp: 3.902000, Eff: 0.558000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 0.020626, SpeedUp: 3.866000, Eff: 0.484000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 0.021158, SpeedUp: 3.768000, Eff: 0.420000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 0.021558, SpeedUp: 3.700000, Eff: 0.370000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 0.022484, SpeedUp: 3.544000, Eff: 0.322000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 0.022254, SpeedUp: 3.584000, Eff: 0.296000, trueg: 1000
