size: 100000000, g: 12, threads: 1, timeS: 0.07955, timeP: 0.07955, SpeedUp: 1.00, Eff: 1.00, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.07955, timeP: 0.04453, SpeedUp: 1.79, Eff: 0.89, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.07955, timeP: 0.02701, SpeedUp: 2.95, Eff: 0.98, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.07955, timeP: 0.02201, SpeedUp: 3.61, Eff: 0.90, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.07955, timeP: 0.02202, SpeedUp: 3.61, Eff: 0.72, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.07955, timeP: 0.01903, SpeedUp: 4.18, Eff: 0.70, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.07955, timeP: 0.02302, SpeedUp: 3.46, Eff: 0.49, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.07955, timeP: 0.02353, SpeedUp: 3.38, Eff: 0.42, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.07955, timeP: 0.02355, SpeedUp: 3.38, Eff: 0.38, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.07955, timeP: 0.02506, SpeedUp: 3.18, Eff: 0.32, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.07955, timeP: 0.02705, SpeedUp: 2.94, Eff: 0.27, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.07955, timeP: 0.02252, SpeedUp: 3.53, Eff: 0.29, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.07755, timeP: 0.07755, SpeedUp: 1.00, Eff: 1.00, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.07755, timeP: 0.04003, SpeedUp: 1.94, Eff: 0.97, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.07755, timeP: 0.02552, SpeedUp: 3.04, Eff: 1.01, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.07755, timeP: 0.02101, SpeedUp: 3.69, Eff: 0.92, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.07755, timeP: 0.01951, SpeedUp: 3.97, Eff: 0.79, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.07755, timeP: 0.01902, SpeedUp: 4.08, Eff: 0.68, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.07755, timeP: 0.02002, SpeedUp: 3.87, Eff: 0.55, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.07755, timeP: 0.02002, SpeedUp: 3.87, Eff: 0.48, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.07755, timeP: 0.02006, SpeedUp: 3.87, Eff: 0.43, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.07755, timeP: 0.02107, SpeedUp: 3.68, Eff: 0.37, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.07755, timeP: 0.02106, SpeedUp: 3.68, Eff: 0.33, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.07755, timeP: 0.02210, SpeedUp: 3.51, Eff: 0.29, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.07955, timeP: 0.07955, SpeedUp: 1.00, Eff: 1.00, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.07955, timeP: 0.03903, SpeedUp: 2.04, Eff: 1.02, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.07955, timeP: 0.02702, SpeedUp: 2.94, Eff: 0.98, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.07955, timeP: 0.02102, SpeedUp: 3.78, Eff: 0.95, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.07955, timeP: 0.01902, SpeedUp: 4.18, Eff: 0.84, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.07955, timeP: 0.01902, SpeedUp: 4.18, Eff: 0.70, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.07955, timeP: 0.02002, SpeedUp: 3.97, Eff: 0.57, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.07955, timeP: 0.02002, SpeedUp: 3.97, Eff: 0.50, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.07955, timeP: 0.02105, SpeedUp: 3.78, Eff: 0.42, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.07955, timeP: 0.02106, SpeedUp: 3.78, Eff: 0.38, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.07955, timeP: 0.02244, SpeedUp: 3.54, Eff: 0.32, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.07955, timeP: 0.02176, SpeedUp: 3.66, Eff: 0.30, trueg: 1000
size: 100000000, g: 12, threads: 1, timeS: 0.07972, timeP: 0.07972, SpeedUp: 1.00, Eff: 1.00, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.07972, timeP: 0.04057, SpeedUp: 1.97, Eff: 0.98, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.07972, timeP: 0.02702, SpeedUp: 2.95, Eff: 0.98, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.07972, timeP: 0.02201, SpeedUp: 3.62, Eff: 0.91, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.07972, timeP: 0.02257, SpeedUp: 3.53, Eff: 0.71, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.07972, timeP: 0.02102, SpeedUp: 3.79, Eff: 0.63, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.07972, timeP: 0.02353, SpeedUp: 3.39, Eff: 0.48, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.07972, timeP: 0.02802, SpeedUp: 2.85, Eff: 0.36, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.07972, timeP: 0.02555, SpeedUp: 3.12, Eff: 0.35, trueg: 12
