size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 0.245690, SpeedUp: 1.000000, Eff: 1.000000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 0.297965, SpeedUp: 0.846667, Eff: 0.423333, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 0.324355, SpeedUp: 0.771667, Eff: 0.256667, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 0.224742, SpeedUp: 1.093333, Eff: 0.273333, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 0.227748, SpeedUp: 1.081667, Eff: 0.215000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 0.237545, SpeedUp: 1.035000, Eff: 0.171667, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 0.247907, SpeedUp: 0.995000, Eff: 0.143333, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 0.253560, SpeedUp: 0.970000, Eff: 0.123333, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 0.254388, SpeedUp: 0.966667, Eff: 0.108333, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 0.258187, SpeedUp: 0.953333, Eff: 0.095000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 0.260583, SpeedUp: 0.945000, Eff: 0.086667, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 0.261917, SpeedUp: 0.938333, Eff: 0.080000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 0.240070, SpeedUp: 1.000000, Eff: 1.000000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 0.193548, SpeedUp: 1.245000, Eff: 0.621667, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 0.192118, SpeedUp: 1.256667, Eff: 0.420000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 0.196045, SpeedUp: 1.231667, Eff: 0.308333, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 0.199438, SpeedUp: 1.213333, Eff: 0.241667, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 0.207647, SpeedUp: 1.166667, Eff: 0.195000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 0.207020, SpeedUp: 1.166667, Eff: 0.168333, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 0.217102, SpeedUp: 1.115000, Eff: 0.138333, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 0.223658, SpeedUp: 1.076667, Eff: 0.118333, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 0.228647, SpeedUp: 1.056667, Eff: 0.105000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 0.235482, SpeedUp: 1.023333, Eff: 0.091667, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 0.238210, SpeedUp: 1.011667, Eff: 0.083333, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 0.264878, SpeedUp: 1.000000, Eff: 1.000000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 0.227313, SpeedUp: 1.170000, Eff: 0.585000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 0.220190, SpeedUp: 1.210000, Eff: 0.403333, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 0.225135, SpeedUp: 1.183333, Eff: 0.293333, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 0.225322, SpeedUp: 1.185000, Eff: 0.238333, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 0.228668, SpeedUp: 1.170000, Eff: 0.195000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 0.231640, SpeedUp: 1.155000, Eff: 0.166667, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 0.235247, SpeedUp: 1.140000, Eff: 0.145000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 0.248562, SpeedUp: 1.076667, Eff: 0.118333, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 0.239730, SpeedUp: 1.111667, Eff: 0.110000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 0.242668, SpeedUp: 1.100000, Eff: 0.098333, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 0.245998, SpeedUp: 1.081667, Eff: 0.091667, trueg: 1000
