size: 100000000, g: 12, threads: 1, timeS: 0.71368, timeP: 0.71368, SpeedUp: 1.00, Eff: 1.00, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.71368, timeP: 0.51826, SpeedUp: 1.38, Eff: 0.69, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.71368, timeP: 0.51724, SpeedUp: 1.38, Eff: 0.46, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.71368, timeP: 0.52072, SpeedUp: 1.37, Eff: 0.34, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.71368, timeP: 0.52720, SpeedUp: 1.35, Eff: 0.27, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.71368, timeP: 0.53865, SpeedUp: 1.32, Eff: 0.22, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.71368, timeP: 0.53698, SpeedUp: 1.33, Eff: 0.19, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.71368, timeP: 0.54109, SpeedUp: 1.32, Eff: 0.16, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.71368, timeP: 0.54178, SpeedUp: 1.32, Eff: 0.15, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.71368, timeP: 0.54517, SpeedUp: 1.31, Eff: 0.13, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.71368, timeP: 0.55192, SpeedUp: 1.29, Eff: 0.12, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.71368, timeP: 0.55426, SpeedUp: 1.29, Eff: 0.11, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.65435, timeP: 0.65435, SpeedUp: 1.00, Eff: 1.00, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.65435, timeP: 0.54404, SpeedUp: 1.20, Eff: 0.60, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.65435, timeP: 0.53196, SpeedUp: 1.23, Eff: 0.41, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.65435, timeP: 0.53274, SpeedUp: 1.23, Eff: 0.31, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.65435, timeP: 0.52991, SpeedUp: 1.23, Eff: 0.25, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.65435, timeP: 0.54929, SpeedUp: 1.19, Eff: 0.20, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.65435, timeP: 0.56165, SpeedUp: 1.17, Eff: 0.17, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.65435, timeP: 0.57166, SpeedUp: 1.14, Eff: 0.14, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.65435, timeP: 0.57049, SpeedUp: 1.15, Eff: 0.13, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.65435, timeP: 0.58858, SpeedUp: 1.11, Eff: 0.11, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.65435, timeP: 0.61280, SpeedUp: 1.07, Eff: 0.10, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.65435, timeP: 0.62474, SpeedUp: 1.05, Eff: 0.09, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.78626, timeP: 0.78626, SpeedUp: 1.00, Eff: 1.00, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.78626, timeP: 0.65800, SpeedUp: 1.19, Eff: 0.60, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.78626, timeP: 0.61060, SpeedUp: 1.29, Eff: 0.43, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.78626, timeP: 0.67722, SpeedUp: 1.16, Eff: 0.29, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.78626, timeP: 0.65656, SpeedUp: 1.20, Eff: 0.24, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.78626, timeP: 0.63369, SpeedUp: 1.24, Eff: 0.21, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.78626, timeP: 0.64535, SpeedUp: 1.22, Eff: 0.17, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.78626, timeP: 0.64746, SpeedUp: 1.21, Eff: 0.15, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.78626, timeP: 0.65813, SpeedUp: 1.19, Eff: 0.13, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.78626, timeP: 0.67738, SpeedUp: 1.16, Eff: 0.12, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.78626, timeP: 0.67789, SpeedUp: 1.16, Eff: 0.11, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.78626, timeP: 0.67339, SpeedUp: 1.17, Eff: 0.10, trueg: 1000
