size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 0.834122, SpeedUp: 1.000000, Eff: 1.000000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 0.426272, SpeedUp: 1.958000, Eff: 0.980000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 0.308998, SpeedUp: 2.704000, Eff: 0.902000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 0.241410, SpeedUp: 3.466000, Eff: 0.864000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 0.218456, SpeedUp: 3.828000, Eff: 0.766000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 0.191158, SpeedUp: 4.366000, Eff: 0.730000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 0.189072, SpeedUp: 4.420000, Eff: 0.630000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 0.175464, SpeedUp: 4.756000, Eff: 0.596000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 0.178168, SpeedUp: 4.692000, Eff: 0.522000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 0.156662, SpeedUp: 5.384000, Eff: 0.540000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 0.170864, SpeedUp: 4.892000, Eff: 0.444000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 0.161776, SpeedUp: 5.166000, Eff: 0.430000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 0.725684, SpeedUp: 1.000000, Eff: 1.000000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 0.403118, SpeedUp: 1.798000, Eff: 0.900000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 0.282500, SpeedUp: 2.572000, Eff: 0.856000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 0.231812, SpeedUp: 3.146000, Eff: 0.788000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 0.201542, SpeedUp: 3.606000, Eff: 0.722000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 0.201928, SpeedUp: 3.642000, Eff: 0.606000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 0.176290, SpeedUp: 4.124000, Eff: 0.590000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 0.172234, SpeedUp: 4.222000, Eff: 0.528000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 0.164850, SpeedUp: 4.414000, Eff: 0.492000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 0.159060, SpeedUp: 4.564000, Eff: 0.456000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 0.151422, SpeedUp: 4.794000, Eff: 0.436000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 0.157056, SpeedUp: 4.632000, Eff: 0.386000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 0.719910, SpeedUp: 1.000000, Eff: 1.000000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 0.398334, SpeedUp: 1.808000, Eff: 0.906000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 0.285530, SpeedUp: 2.522000, Eff: 0.842000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 0.233304, SpeedUp: 3.086000, Eff: 0.772000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 0.198900, SpeedUp: 3.620000, Eff: 0.722000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 0.178254, SpeedUp: 4.042000, Eff: 0.674000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 0.177022, SpeedUp: 4.070000, Eff: 0.580000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 0.167200, SpeedUp: 4.308000, Eff: 0.536000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 0.160874, SpeedUp: 4.476000, Eff: 0.496000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 0.157690, SpeedUp: 4.566000, Eff: 0.456000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 0.152522, SpeedUp: 4.724000, Eff: 0.430000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 0.150278, SpeedUp: 4.790000, Eff: 0.398000, trueg: 1000
