size: 100000000, g: 12, threads: 1, timeS: 0.81942, timeP: 0.81942, SpeedUp: 1.00, Eff: 1.00, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.81942, timeP: 0.42249, SpeedUp: 1.94, Eff: 0.97, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.81942, timeP: 0.29282, SpeedUp: 2.80, Eff: 0.93, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.81942, timeP: 0.23985, SpeedUp: 3.42, Eff: 0.85, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.81942, timeP: 0.22570, SpeedUp: 3.63, Eff: 0.73, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.81942, timeP: 0.18836, SpeedUp: 4.35, Eff: 0.73, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.81942, timeP: 0.18496, SpeedUp: 4.43, Eff: 0.63, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.81942, timeP: 0.17467, SpeedUp: 4.69, Eff: 0.59, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.81942, timeP: 0.18377, SpeedUp: 4.46, Eff: 0.50, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.81942, timeP: 0.12509, SpeedUp: 6.55, Eff: 0.66, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.81942, timeP: 0.16905, SpeedUp: 4.85, Eff: 0.44, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.81942, timeP: 0.16506, SpeedUp: 4.96, Eff: 0.41, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.72103, timeP: 0.72103, SpeedUp: 1.00, Eff: 1.00, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.72103, timeP: 0.40200, SpeedUp: 1.79, Eff: 0.90, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.72103, timeP: 0.28140, SpeedUp: 2.56, Eff: 0.85, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.72103, timeP: 0.22886, SpeedUp: 3.15, Eff: 0.79, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.72103, timeP: 0.19010, SpeedUp: 3.79, Eff: 0.76, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.72103, timeP: 0.18221, SpeedUp: 3.96, Eff: 0.66, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.72103, timeP: 0.16851, SpeedUp: 4.28, Eff: 0.61, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.72103, timeP: 0.17748, SpeedUp: 4.06, Eff: 0.51, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.72103, timeP: 0.18148, SpeedUp: 3.97, Eff: 0.44, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.72103, timeP: 0.16006, SpeedUp: 4.50, Eff: 0.45, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.72103, timeP: 0.15004, SpeedUp: 4.81, Eff: 0.44, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.72103, timeP: 0.15302, SpeedUp: 4.71, Eff: 0.39, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.71913, timeP: 0.71913, SpeedUp: 1.00, Eff: 1.00, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.71913, timeP: 0.40133, SpeedUp: 1.79, Eff: 0.90, trueg: 1000
