size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 11.183592, SpeedUp: 1.000000, Eff: 1.000000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 7.072804, SpeedUp: 1.582000, Eff: 0.790000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 5.251276, SpeedUp: 2.206000, Eff: 0.734000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 5.645680, SpeedUp: 2.024000, Eff: 0.504000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 5.508882, SpeedUp: 2.100000, Eff: 0.420000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 4.587982, SpeedUp: 2.582000, Eff: 0.430000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 4.570056, SpeedUp: 2.582000, Eff: 0.368000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 4.604644, SpeedUp: 2.562000, Eff: 0.322000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 3.703676, SpeedUp: 3.020000, Eff: 0.336000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 5.028666, SpeedUp: 2.356000, Eff: 0.236000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 4.580998, SpeedUp: 2.582000, Eff: 0.234000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 3.685524, SpeedUp: 3.034000, Eff: 0.252000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 10.887610, SpeedUp: 1.000000, Eff: 1.000000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 5.945498, SpeedUp: 1.832000, Eff: 0.916000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 4.362816, SpeedUp: 2.498000, Eff: 0.832000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 3.676092, SpeedUp: 2.960000, Eff: 0.742000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 3.512472, SpeedUp: 3.144000, Eff: 0.630000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 3.028304, SpeedUp: 3.596000, Eff: 0.600000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 2.901176, SpeedUp: 3.754000, Eff: 0.536000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 3.074488, SpeedUp: 3.554000, Eff: 0.446000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 3.183914, SpeedUp: 3.428000, Eff: 0.382000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 2.986638, SpeedUp: 3.660000, Eff: 0.364000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 3.113424, SpeedUp: 3.498000, Eff: 0.318000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 3.224696, SpeedUp: 3.400000, Eff: 0.282000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 10.746120, SpeedUp: 1.000000, Eff: 1.000000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 5.914952, SpeedUp: 1.818000, Eff: 0.906000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 4.524230, SpeedUp: 2.394000, Eff: 0.800000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 4.239592, SpeedUp: 2.692000, Eff: 0.674000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 3.268472, SpeedUp: 3.292000, Eff: 0.658000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 3.135262, SpeedUp: 3.436000, Eff: 0.574000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 2.975170, SpeedUp: 3.614000, Eff: 0.518000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 2.996150, SpeedUp: 3.598000, Eff: 0.450000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 2.970224, SpeedUp: 3.624000, Eff: 0.404000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 2.931306, SpeedUp: 3.672000, Eff: 0.368000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 2.965014, SpeedUp: 3.634000, Eff: 0.330000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 2.913930, SpeedUp: 3.696000, Eff: 0.310000, trueg: 1000
