size: 100000000, g: 12, threads: 1, timeS: 11.13996, timeP: 11.13996, SpeedUp: 1.00, Eff: 1.00, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 11.13996, timeP: 7.11279, SpeedUp: 1.57, Eff: 0.78, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 11.13996, timeP: 4.30386, SpeedUp: 2.59, Eff: 0.86, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 11.13996, timeP: 6.01111, SpeedUp: 1.85, Eff: 0.46, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 11.13996, timeP: 5.98369, SpeedUp: 1.86, Eff: 0.37, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 11.13996, timeP: 5.90084, SpeedUp: 1.89, Eff: 0.31, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 11.13996, timeP: 5.90950, SpeedUp: 1.89, Eff: 0.27, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 11.13996, timeP: 3.61477, SpeedUp: 3.08, Eff: 0.39, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 11.13996, timeP: 3.63932, SpeedUp: 3.06, Eff: 0.34, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 11.13996, timeP: 3.63210, SpeedUp: 3.07, Eff: 0.31, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 11.13996, timeP: 3.66972, SpeedUp: 3.04, Eff: 0.28, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 11.13996, timeP: 3.63551, SpeedUp: 3.06, Eff: 0.26, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 10.84728, timeP: 10.84728, SpeedUp: 1.00, Eff: 1.00, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 10.84728, timeP: 5.86875, SpeedUp: 1.85, Eff: 0.92, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 10.84728, timeP: 4.32603, SpeedUp: 2.51, Eff: 0.84, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 10.84728, timeP: 3.81378, SpeedUp: 2.84, Eff: 0.71, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 10.84728, timeP: 3.16243, SpeedUp: 3.43, Eff: 0.69, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 10.84728, timeP: 3.07531, SpeedUp: 3.53, Eff: 0.59, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 10.84728, timeP: 2.81862, SpeedUp: 3.85, Eff: 0.55, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 10.84728, timeP: 2.84769, SpeedUp: 3.81, Eff: 0.48, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 10.84728, timeP: 3.15343, SpeedUp: 3.44, Eff: 0.38, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 10.84728, timeP: 2.77766, SpeedUp: 3.91, Eff: 0.39, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 10.84728, timeP: 3.17357, SpeedUp: 3.42, Eff: 0.31, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 10.84728, timeP: 3.06663, SpeedUp: 3.54, Eff: 0.29, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 10.73884, timeP: 10.73884, SpeedUp: 1.00, Eff: 1.00, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 10.73884, timeP: 5.93636, SpeedUp: 1.81, Eff: 0.90, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 10.73884, timeP: 4.33426, SpeedUp: 2.48, Eff: 0.83, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 10.73884, timeP: 6.69647, SpeedUp: 1.60, Eff: 0.40, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 10.73884, timeP: 3.26218, SpeedUp: 3.29, Eff: 0.66, trueg: 1000
