size: 100000000, g: 12, threads: 1, timeS: 0.000000, timeP: 7.984796, SpeedUp: 1.000000, Eff: 1.000000, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.000000, timeP: 4.975584, SpeedUp: 1.616000, Eff: 0.806000, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.000000, timeP: 4.269232, SpeedUp: 1.874000, Eff: 0.626000, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.000000, timeP: 3.884240, SpeedUp: 2.098000, Eff: 0.524000, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.000000, timeP: 3.115348, SpeedUp: 2.740000, Eff: 0.550000, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.000000, timeP: 3.318824, SpeedUp: 2.512000, Eff: 0.418000, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.000000, timeP: 3.388158, SpeedUp: 2.456000, Eff: 0.350000, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.000000, timeP: 3.585804, SpeedUp: 2.454000, Eff: 0.306000, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.000000, timeP: 3.699928, SpeedUp: 2.236000, Eff: 0.246000, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.000000, timeP: 3.151916, SpeedUp: 2.858000, Eff: 0.284000, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.000000, timeP: 2.695120, SpeedUp: 3.138000, Eff: 0.288000, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.000000, timeP: 3.472248, SpeedUp: 2.478000, Eff: 0.206000, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.000000, timeP: 7.997014, SpeedUp: 1.000000, Eff: 1.000000, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.000000, timeP: 4.185320, SpeedUp: 1.912000, Eff: 0.954000, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.000000, timeP: 2.891014, SpeedUp: 2.766000, Eff: 0.920000, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.000000, timeP: 2.280062, SpeedUp: 3.508000, Eff: 0.878000, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.000000, timeP: 1.944410, SpeedUp: 4.112000, Eff: 0.822000, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.000000, timeP: 1.722454, SpeedUp: 4.646000, Eff: 0.774000, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.000000, timeP: 1.595922, SpeedUp: 5.014000, Eff: 0.716000, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.000000, timeP: 1.516688, SpeedUp: 5.278000, Eff: 0.662000, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.000000, timeP: 1.464330, SpeedUp: 5.466000, Eff: 0.606000, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.000000, timeP: 1.407552, SpeedUp: 5.686000, Eff: 0.568000, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.000000, timeP: 1.383812, SpeedUp: 5.782000, Eff: 0.526000, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.000000, timeP: 1.363984, SpeedUp: 5.866000, Eff: 0.490000, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.000000, timeP: 8.019252, SpeedUp: 1.000000, Eff: 1.000000, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.000000, timeP: 4.177106, SpeedUp: 1.920000, Eff: 0.960000, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.000000, timeP: 2.916440, SpeedUp: 2.750000, Eff: 0.916000, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.000000, timeP: 2.280036, SpeedUp: 3.518000, Eff: 0.880000, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.000000, timeP: 1.916876, SpeedUp: 4.182000, Eff: 0.838000, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.000000, timeP: 1.709166, SpeedUp: 4.694000, Eff: 0.782000, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.000000, timeP: 1.608522, SpeedUp: 4.988000, Eff: 0.710000, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.000000, timeP: 1.514128, SpeedUp: 5.300000, Eff: 0.662000, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.000000, timeP: 1.462030, SpeedUp: 5.490000, Eff: 0.612000, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.000000, timeP: 1.410570, SpeedUp: 5.690000, Eff: 0.568000, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.000000, timeP: 1.383546, SpeedUp: 5.802000, Eff: 0.528000, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.000000, timeP: 1.373922, SpeedUp: 5.842000, Eff: 0.486000, trueg: 1000
