size: 100000000, g: 12, threads: 1, timeS: 8.00382, timeP: 8.00382, SpeedUp: 1.00, Eff: 1.00, trueg: 1
size: 100000000, g: 12, threads: 2, timeS: 8.00382, timeP: 4.42760, SpeedUp: 1.81, Eff: 0.90, trueg: 0
size: 100000000, g: 12, threads: 3, timeS: 8.00382, timeP: 4.40406, SpeedUp: 1.82, Eff: 0.61, trueg: 3
size: 100000000, g: 12, threads: 4, timeS: 8.00382, timeP: 2.89953, SpeedUp: 2.76, Eff: 0.69, trueg: 2
size: 100000000, g: 12, threads: 5, timeS: 8.00382, timeP: 2.91953, SpeedUp: 2.74, Eff: 0.55, trueg: 3
size: 100000000, g: 12, threads: 6, timeS: 8.00382, timeP: 4.23378, SpeedUp: 1.89, Eff: 0.32, trueg: 5
size: 100000000, g: 12, threads: 7, timeS: 8.00382, timeP: 4.21150, SpeedUp: 1.90, Eff: 0.27, trueg: 4
size: 100000000, g: 12, threads: 8, timeS: 8.00382, timeP: 4.44950, SpeedUp: 1.80, Eff: 0.22, trueg: 4
size: 100000000, g: 12, threads: 9, timeS: 8.00382, timeP: 4.42141, SpeedUp: 1.81, Eff: 0.20, trueg: 3
size: 100000000, g: 12, threads: 10, timeS: 8.00382, timeP: 4.24974, SpeedUp: 1.88, Eff: 0.19, trueg: 0
size: 100000000, g: 12, threads: 11, timeS: 8.00382, timeP: 2.54154, SpeedUp: 3.15, Eff: 0.29, trueg: 5
size: 100000000, g: 12, threads: 12, timeS: 8.00382, timeP: 4.22422, SpeedUp: 1.89, Eff: 0.16, trueg: 0
size: 100000000, g: 500, threads: 1, timeS: 7.98955, timeP: 7.98955, SpeedUp: 1.00, Eff: 1.00, trueg: 23
size: 100000000, g: 500, threads: 2, timeS: 7.98955, timeP: 4.14564, SpeedUp: 1.93, Eff: 0.96, trueg: 11
size: 100000000, g: 500, threads: 3, timeS: 7.98955, timeP: 2.87918, SpeedUp: 2.77, Eff: 0.92, trueg: 7
size: 100000000, g: 500, threads: 4, timeS: 7.98955, timeP: 2.20582, SpeedUp: 3.62, Eff: 0.91, trueg: 4
size: 100000000, g: 500, threads: 5, timeS: 7.98955, timeP: 1.88932, SpeedUp: 4.23, Eff: 0.85, trueg: 3
size: 100000000, g: 500, threads: 6, timeS: 7.98955, timeP: 1.68620, SpeedUp: 4.74, Eff: 0.79, trueg: 3
size: 100000000, g: 500, threads: 7, timeS: 7.98955, timeP: 1.58806, SpeedUp: 5.03, Eff: 0.72, trueg: 0
size: 100000000, g: 500, threads: 8, timeS: 7.98955, timeP: 1.51149, SpeedUp: 5.29, Eff: 0.66, trueg: 2
size: 100000000, g: 500, threads: 9, timeS: 7.98955, timeP: 1.46922, SpeedUp: 5.44, Eff: 0.60, trueg: 0
size: 100000000, g: 500, threads: 10, timeS: 7.98955, timeP: 1.42296, SpeedUp: 5.61, Eff: 0.56, trueg: 1
size: 100000000, g: 500, threads: 11, timeS: 7.98955, timeP: 1.38091, SpeedUp: 5.79, Eff: 0.53, trueg: 1
size: 100000000, g: 500, threads: 12, timeS: 7.98955, timeP: 1.37540, SpeedUp: 5.81, Eff: 0.48, trueg: 0
size: 100000000, g: 1000, threads: 1, timeS: 8.02975, timeP: 8.02975, SpeedUp: 1.00, Eff: 1.00, trueg: 22
size: 100000000, g: 1000, threads: 2, timeS: 8.02975, timeP: 4.16668, SpeedUp: 1.93, Eff: 0.96, trueg: 0
size: 100000000, g: 1000, threads: 3, timeS: 8.02975, timeP: 2.87321, SpeedUp: 2.79, Eff: 0.93, trueg: 0
size: 100000000, g: 1000, threads: 4, timeS: 8.02975, timeP: 2.23236, SpeedUp: 3.60, Eff: 0.90, trueg: 0
size: 100000000, g: 1000, threads: 5, timeS: 8.02975, timeP: 1.89310, SpeedUp: 4.24, Eff: 0.85, trueg: 0
size: 100000000, g: 1000, threads: 6, timeS: 8.02975, timeP: 1.67831, SpeedUp: 4.78, Eff: 0.80, trueg: 1
size: 100000000, g: 1000, threads: 7, timeS: 8.02975, timeP: 1.60613, SpeedUp: 5.00, Eff: 0.71, trueg: 4
size: 100000000, g: 1000, threads: 8, timeS: 8.02975, timeP: 1.54157, SpeedUp: 5.21, Eff: 0.65, trueg: 0
size: 100000000, g: 1000, threads: 9, timeS: 8.02975, timeP: 1.46528, SpeedUp: 5.48, Eff: 0.61, trueg: 0
size: 100000000, g: 1000, threads: 10, timeS: 8.02975, timeP: 1.42378, SpeedUp: 5.64, Eff: 0.56, trueg: 3
size: 100000000, g: 1000, threads: 11, timeS: 8.02975, timeP: 1.39993, SpeedUp: 5.74, Eff: 0.52, trueg: 0
size: 100000000, g: 1000, threads: 12, timeS: 8.02975, timeP: 1.37318, SpeedUp: 5.85, Eff: 0.49, trueg: 0
size: 100000000, g: 12, threads: 1, timeS: 8.01175, timeP: 8.01175, SpeedUp: 1.00, Eff: 1.00, trueg: 6
size: 100000000, g: 12, threads: 2, timeS: 8.01175, timeP: 5.48232, SpeedUp: 1.46, Eff: 0.73, trueg: 5
size: 100000000, g: 12, threads: 3, timeS: 8.01175, timeP: 3.97998, SpeedUp: 2.01, Eff: 0.67, trueg: 5
size: 100000000, g: 12, threads: 4, timeS: 8.01175, timeP: 4.02375, SpeedUp: 1.99, Eff: 0.50, trueg: 5
size: 100000000, g: 12, threads: 5, timeS: 8.01175, timeP: 4.88797, SpeedUp: 1.64, Eff: 0.33, trueg: 5
size: 100000000, g: 12, threads: 6, timeS: 8.01175, timeP: 3.01207, SpeedUp: 2.66, Eff: 0.44, trueg: 5
size: 100000000, g: 12, threads: 7, timeS: 8.01175, timeP: 3.18942, SpeedUp: 2.51, Eff: 0.36, trueg: 5
size: 100000000, g: 12, threads: 8, timeS: 8.01175, timeP: 3.20457, SpeedUp: 2.50, Eff: 0.31, trueg: 5
size: 100000000, g: 12, threads: 9, timeS: 8.01175, timeP: 2.58587, SpeedUp: 3.10, Eff: 0.34, trueg: 8
size: 100000000, g: 12, threads: 10, timeS: 8.01175, timeP: 3.14940, SpeedUp: 2.54, Eff: 0.25, trueg: 5
size: 100000000, g: 12, threads: 11, timeS: 8.01175, timeP: 3.17341, SpeedUp: 2.52, Eff: 0.23, trueg: 5
size: 100000000, g: 12, threads: 12, timeS: 8.01175, timeP: 4.05579, SpeedUp: 1.98, Eff: 0.16, trueg: 8
size: 100000000, g: 500, threads: 1, timeS: 8.00022, timeP: 8.00022, SpeedUp: 1.00, Eff: 1.00, trueg: 12
size: 100000000, g: 500, threads: 2, timeS: 8.00022, timeP: 4.26997, SpeedUp: 1.87, Eff: 0.94, trueg: 13
size: 100000000, g: 500, threads: 3, timeS: 8.00022, timeP: 2.93477, SpeedUp: 2.73, Eff: 0.91, trueg: 7
size: 100000000, g: 500, threads: 4, timeS: 8.00022, timeP: 2.32750, SpeedUp: 3.44, Eff: 0.86, trueg: 4
size: 100000000, g: 500, threads: 5, timeS: 8.00022, timeP: 1.96445, SpeedUp: 4.07, Eff: 0.81, trueg: 10
