size: 100000000, g: 12, threads: 1, timeS: 0.05558, timeP: 0.07605, SpeedUp: 0.73, Eff: 0.73, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.05558, timeP: 0.03903, SpeedUp: 1.42, Eff: 0.71, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.05558, timeP: 0.02752, SpeedUp: 2.02, Eff: 0.67, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.05558, timeP: 0.02101, SpeedUp: 2.64, Eff: 0.66, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.05558, timeP: 0.02156, SpeedUp: 2.58, Eff: 0.52, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.05558, timeP: 0.02218, SpeedUp: 2.51, Eff: 0.42, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.05558, timeP: 0.02102, SpeedUp: 2.64, Eff: 0.38, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.05558, timeP: 0.02102, SpeedUp: 2.64, Eff: 0.33, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.05558, timeP: 0.02204, SpeedUp: 2.52, Eff: 0.28, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.05558, timeP: 0.02257, SpeedUp: 2.46, Eff: 0.25, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.05558, timeP: 0.02459, SpeedUp: 2.26, Eff: 0.21, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.05558, timeP: 0.02254, SpeedUp: 2.47, Eff: 0.21, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.05558, timeP: 0.07366, SpeedUp: 0.75, Eff: 0.75, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.05558, timeP: 0.03959, SpeedUp: 1.40, Eff: 0.70, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.05558, timeP: 0.03052, SpeedUp: 1.82, Eff: 0.61, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.05558, timeP: 0.02102, SpeedUp: 2.64, Eff: 0.66, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.05558, timeP: 0.01905, SpeedUp: 2.92, Eff: 0.58, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.05558, timeP: 0.02003, SpeedUp: 2.78, Eff: 0.46, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.05558, timeP: 0.02015, SpeedUp: 2.76, Eff: 0.39, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.05558, timeP: 0.02026, SpeedUp: 2.74, Eff: 0.34, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.05558, timeP: 0.02103, SpeedUp: 2.64, Eff: 0.29, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.05558, timeP: 0.02105, SpeedUp: 2.64, Eff: 0.26, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.05558, timeP: 0.02063, SpeedUp: 2.69, Eff: 0.24, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.05558, timeP: 0.02107, SpeedUp: 2.64, Eff: 0.22, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.05558, timeP: 0.07581, SpeedUp: 0.73, Eff: 0.73, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.05558, timeP: 0.03803, SpeedUp: 1.46, Eff: 0.73, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.05558, timeP: 0.03152, SpeedUp: 1.76, Eff: 0.59, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.05558, timeP: 0.02102, SpeedUp: 2.64, Eff: 0.66, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.05558, timeP: 0.01902, SpeedUp: 2.92, Eff: 0.58, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.05558, timeP: 0.02053, SpeedUp: 2.71, Eff: 0.45, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.05558, timeP: 0.02103, SpeedUp: 2.64, Eff: 0.38, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.05558, timeP: 0.02104, SpeedUp: 2.64, Eff: 0.33, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.05558, timeP: 0.02204, SpeedUp: 2.52, Eff: 0.28, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.05558, timeP: 0.02062, SpeedUp: 2.69, Eff: 0.27, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.05558, timeP: 0.02171, SpeedUp: 2.56, Eff: 0.23, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.05558, timeP: 0.02252, SpeedUp: 2.47, Eff: 0.21, trueg: 1000
size: 100000000, g: 12, threads: 1, timeS: 0.05353, timeP: 0.07661, SpeedUp: 0.70, Eff: 0.70, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.05353, timeP: 0.03903, SpeedUp: 1.37, Eff: 0.69, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.05353, timeP: 0.02702, SpeedUp: 1.98, Eff: 0.66, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.05353, timeP: 0.02102, SpeedUp: 2.55, Eff: 0.64, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.05353, timeP: 0.02108, SpeedUp: 2.54, Eff: 0.51, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.05353, timeP: 0.02102, SpeedUp: 2.55, Eff: 0.42, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.05353, timeP: 0.01903, SpeedUp: 2.81, Eff: 0.40, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.05353, timeP: 0.02104, SpeedUp: 2.54, Eff: 0.32, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.05353, timeP: 0.02114, SpeedUp: 2.53, Eff: 0.28, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.05353, timeP: 0.02354, SpeedUp: 2.27, Eff: 0.23, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.05353, timeP: 0.02615, SpeedUp: 2.05, Eff: 0.19, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.05353, timeP: 0.02206, SpeedUp: 2.43, Eff: 0.20, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.05353, timeP: 0.07426, SpeedUp: 0.72, Eff: 0.72, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.05353, timeP: 0.03997, SpeedUp: 1.34, Eff: 0.67, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.05353, timeP: 0.02602, SpeedUp: 2.06, Eff: 0.69, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.05353, timeP: 0.02002, SpeedUp: 2.67, Eff: 0.67, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.05353, timeP: 0.01960, SpeedUp: 2.73, Eff: 0.55, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.05353, timeP: 0.02103, SpeedUp: 2.55, Eff: 0.42, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.05353, timeP: 0.02003, SpeedUp: 2.67, Eff: 0.38, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.05353, timeP: 0.02006, SpeedUp: 2.67, Eff: 0.33, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.05353, timeP: 0.02172, SpeedUp: 2.46, Eff: 0.27, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.05353, timeP: 0.02058, SpeedUp: 2.60, Eff: 0.26, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.05353, timeP: 0.02176, SpeedUp: 2.46, Eff: 0.22, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.05353, timeP: 0.02109, SpeedUp: 2.54, Eff: 0.21, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.05353, timeP: 0.07704, SpeedUp: 0.69, Eff: 0.69, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.05353, timeP: 0.03902, SpeedUp: 1.37, Eff: 0.69, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.05353, timeP: 0.02602, SpeedUp: 2.06, Eff: 0.69, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.05353, timeP: 0.02253, SpeedUp: 2.38, Eff: 0.59, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.05353, timeP: 0.01902, SpeedUp: 2.81, Eff: 0.56, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.05353, timeP: 0.01965, SpeedUp: 2.73, Eff: 0.45, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.05353, timeP: 0.02004, SpeedUp: 2.67, Eff: 0.38, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.05353, timeP: 0.02104, SpeedUp: 2.54, Eff: 0.32, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.05353, timeP: 0.02059, SpeedUp: 2.60, Eff: 0.29, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.05353, timeP: 0.02056, SpeedUp: 2.60, Eff: 0.26, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.05353, timeP: 0.02209, SpeedUp: 2.42, Eff: 0.22, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.05353, timeP: 0.02146, SpeedUp: 2.49, Eff: 0.21, trueg: 1000
size: 100000000, g: 12, threads: 1, timeS: 0.05418, timeP: 0.07467, SpeedUp: 0.73, Eff: 0.73, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.05418, timeP: 0.03955, SpeedUp: 1.37, Eff: 0.68, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.05418, timeP: 0.02601, SpeedUp: 2.08, Eff: 0.69, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.05418, timeP: 0.02202, SpeedUp: 2.46, Eff: 0.62, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.05418, timeP: 0.02202, SpeedUp: 2.46, Eff: 0.49, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.05418, timeP: 0.02337, SpeedUp: 2.32, Eff: 0.39, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.05418, timeP: 0.02305, SpeedUp: 2.35, Eff: 0.34, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.05418, timeP: 0.02653, SpeedUp: 2.04, Eff: 0.26, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.05418, timeP: 0.02170, SpeedUp: 2.50, Eff: 0.28, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.05418, timeP: 0.02413, SpeedUp: 2.25, Eff: 0.22, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.05418, timeP: 0.02425, SpeedUp: 2.23, Eff: 0.20, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.05418, timeP: 0.02479, SpeedUp: 2.19, Eff: 0.18, trueg: 12
