size: 100000000, g: 12, threads: 1, timeS: 0.62566, timeP: 0.24104, SpeedUp: 2.60, Eff: 2.60, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.62566, timeP: 0.27046, SpeedUp: 2.31, Eff: 1.16, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.62566, timeP: 0.23680, SpeedUp: 2.64, Eff: 0.88, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.62566, timeP: 0.24253, SpeedUp: 2.58, Eff: 0.64, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.62566, timeP: 0.23579, SpeedUp: 2.65, Eff: 0.53, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.62566, timeP: 0.25315, SpeedUp: 2.47, Eff: 0.41, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.62566, timeP: 0.25709, SpeedUp: 2.43, Eff: 0.35, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.62566, timeP: 0.26073, SpeedUp: 2.40, Eff: 0.30, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.62566, timeP: 0.25629, SpeedUp: 2.44, Eff: 0.27, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.62566, timeP: 0.25646, SpeedUp: 2.44, Eff: 0.24, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.62566, timeP: 0.25491, SpeedUp: 2.45, Eff: 0.22, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.62566, timeP: 0.25474, SpeedUp: 2.46, Eff: 0.20, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.62566, timeP: 0.22906, SpeedUp: 2.73, Eff: 2.73, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.62566, timeP: 0.19537, SpeedUp: 3.20, Eff: 1.60, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.62566, timeP: 0.19168, SpeedUp: 3.26, Eff: 1.09, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.62566, timeP: 0.19512, SpeedUp: 3.21, Eff: 0.80, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.62566, timeP: 0.20835, SpeedUp: 3.00, Eff: 0.60, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.62566, timeP: 0.21140, SpeedUp: 2.96, Eff: 0.49, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.62566, timeP: 0.21160, SpeedUp: 2.96, Eff: 0.42, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.62566, timeP: 0.22133, SpeedUp: 2.83, Eff: 0.35, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.62566, timeP: 0.22494, SpeedUp: 2.78, Eff: 0.31, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.62566, timeP: 0.23307, SpeedUp: 2.68, Eff: 0.27, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.62566, timeP: 0.23389, SpeedUp: 2.67, Eff: 0.24, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.62566, timeP: 0.23397, SpeedUp: 2.67, Eff: 0.22, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.62566, timeP: 0.27226, SpeedUp: 2.30, Eff: 2.30, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.62566, timeP: 0.23702, SpeedUp: 2.64, Eff: 1.32, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.62566, timeP: 0.23710, SpeedUp: 2.64, Eff: 0.88, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.62566, timeP: 0.22633, SpeedUp: 2.76, Eff: 0.69, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.62566, timeP: 0.21999, SpeedUp: 2.84, Eff: 0.57, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.62566, timeP: 0.23063, SpeedUp: 2.71, Eff: 0.45, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.62566, timeP: 0.23045, SpeedUp: 2.71, Eff: 0.39, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.62566, timeP: 0.22642, SpeedUp: 2.76, Eff: 0.35, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.62566, timeP: 0.22819, SpeedUp: 2.74, Eff: 0.30, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.62566, timeP: 0.23493, SpeedUp: 2.66, Eff: 0.27, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.62566, timeP: 0.24246, SpeedUp: 2.58, Eff: 0.23, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.62566, timeP: 0.24600, SpeedUp: 2.54, Eff: 0.21, trueg: 1000
size: 100000000, g: 12, threads: 1, timeS: 0.40917, timeP: 0.22374, SpeedUp: 1.83, Eff: 1.83, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.40917, timeP: 0.27274, SpeedUp: 1.50, Eff: 0.75, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.40917, timeP: 0.20899, SpeedUp: 1.96, Eff: 0.65, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.40917, timeP: 0.22099, SpeedUp: 1.85, Eff: 0.46, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.40917, timeP: 0.22944, SpeedUp: 1.78, Eff: 0.36, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.40917, timeP: 0.24670, SpeedUp: 1.66, Eff: 0.28, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.40917, timeP: 0.26386, SpeedUp: 1.55, Eff: 0.22, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.40917, timeP: 0.26655, SpeedUp: 1.54, Eff: 0.19, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.40917, timeP: 0.24213, SpeedUp: 1.69, Eff: 0.19, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.40917, timeP: 0.25124, SpeedUp: 1.63, Eff: 0.16, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.40917, timeP: 0.24687, SpeedUp: 1.66, Eff: 0.15, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.40917, timeP: 0.25147, SpeedUp: 1.63, Eff: 0.14, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.40917, timeP: 0.21672, SpeedUp: 1.89, Eff: 1.89, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.40917, timeP: 0.18724, SpeedUp: 2.19, Eff: 1.09, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.40917, timeP: 0.18762, SpeedUp: 2.18, Eff: 0.73, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.40917, timeP: 0.19147, SpeedUp: 2.14, Eff: 0.53, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.40917, timeP: 0.18911, SpeedUp: 2.16, Eff: 0.43, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.40917, timeP: 0.19293, SpeedUp: 2.12, Eff: 0.35, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.40917, timeP: 0.19932, SpeedUp: 2.05, Eff: 0.29, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.40917, timeP: 0.21313, SpeedUp: 1.92, Eff: 0.24, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.40917, timeP: 0.21562, SpeedUp: 1.90, Eff: 0.21, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.40917, timeP: 0.22145, SpeedUp: 1.85, Eff: 0.18, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.40917, timeP: 0.22721, SpeedUp: 1.80, Eff: 0.16, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.40917, timeP: 0.23303, SpeedUp: 1.76, Eff: 0.15, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.40917, timeP: 0.24744, SpeedUp: 1.65, Eff: 1.65, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.40917, timeP: 0.21162, SpeedUp: 1.93, Eff: 0.97, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.40917, timeP: 0.22404, SpeedUp: 1.83, Eff: 0.61, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.40917, timeP: 0.20861, SpeedUp: 1.96, Eff: 0.49, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.40917, timeP: 0.20859, SpeedUp: 1.96, Eff: 0.39, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.40917, timeP: 0.21292, SpeedUp: 1.92, Eff: 0.32, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.40917, timeP: 0.21724, SpeedUp: 1.88, Eff: 0.27, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.40917, timeP: 0.21591, SpeedUp: 1.90, Eff: 0.24, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.40917, timeP: 0.21835, SpeedUp: 1.87, Eff: 0.21, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.40917, timeP: 0.22819, SpeedUp: 1.79, Eff: 0.18, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.40917, timeP: 0.22250, SpeedUp: 1.84, Eff: 0.17, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.40917, timeP: 0.22506, SpeedUp: 1.82, Eff: 0.15, trueg: 1000
size: 100000000, g: 12, threads: 1, timeS: 0.44516, timeP: 0.23831, SpeedUp: 1.87, Eff: 1.87, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.44516, timeP: 0.31560, SpeedUp: 1.41, Eff: 0.71, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.44516, timeP: 0.23241, SpeedUp: 1.92, Eff: 0.64, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.44516, timeP: 0.23312, SpeedUp: 1.91, Eff: 0.48, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.44516, timeP: 0.22998, SpeedUp: 1.94, Eff: 0.39, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.44516, timeP: 0.24535, SpeedUp: 1.81, Eff: 0.30, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.44516, timeP: 0.24399, SpeedUp: 1.82, Eff: 0.26, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.44516, timeP: 0.24739, SpeedUp: 1.80, Eff: 0.22, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.44516, timeP: 0.25049, SpeedUp: 1.78, Eff: 0.20, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.44516, timeP: 0.25195, SpeedUp: 1.77, Eff: 0.18, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.44516, timeP: 0.26183, SpeedUp: 1.70, Eff: 0.15, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.44516, timeP: 0.25699, SpeedUp: 1.73, Eff: 0.14, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.44516, timeP: 0.24330, SpeedUp: 1.83, Eff: 1.83, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.44516, timeP: 0.19982, SpeedUp: 2.23, Eff: 1.11, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.44516, timeP: 0.18831, SpeedUp: 2.36, Eff: 0.79, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.44516, timeP: 0.19341, SpeedUp: 2.30, Eff: 0.58, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.44516, timeP: 0.20748, SpeedUp: 2.15, Eff: 0.43, trueg: 500
