size: 100000000, g: 12, threads: 1, timeS: 0.58114, timeP: 0.69705, SpeedUp: 0.83, Eff: 0.83, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.58114, timeP: 0.51946, SpeedUp: 1.12, Eff: 0.56, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.58114, timeP: 0.50999, SpeedUp: 1.14, Eff: 0.38, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.58114, timeP: 0.52050, SpeedUp: 1.12, Eff: 0.28, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.58114, timeP: 0.52246, SpeedUp: 1.11, Eff: 0.22, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.58114, timeP: 0.52728, SpeedUp: 1.10, Eff: 0.18, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.58114, timeP: 0.52666, SpeedUp: 1.10, Eff: 0.16, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.58114, timeP: 0.53018, SpeedUp: 1.10, Eff: 0.14, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.58114, timeP: 0.53732, SpeedUp: 1.08, Eff: 0.12, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.58114, timeP: 0.53699, SpeedUp: 1.08, Eff: 0.11, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.58114, timeP: 0.56474, SpeedUp: 1.03, Eff: 0.09, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.58114, timeP: 0.56931, SpeedUp: 1.02, Eff: 0.09, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.58114, timeP: 0.68281, SpeedUp: 0.85, Eff: 0.85, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.58114, timeP: 0.58373, SpeedUp: 1.00, Eff: 0.50, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.58114, timeP: 0.54619, SpeedUp: 1.06, Eff: 0.35, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.58114, timeP: 0.53627, SpeedUp: 1.08, Eff: 0.27, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.58114, timeP: 0.60086, SpeedUp: 0.97, Eff: 0.19, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.58114, timeP: 0.55536, SpeedUp: 1.05, Eff: 0.17, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.58114, timeP: 0.54533, SpeedUp: 1.07, Eff: 0.15, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.58114, timeP: 0.55295, SpeedUp: 1.05, Eff: 0.13, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.58114, timeP: 0.55958, SpeedUp: 1.04, Eff: 0.12, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.58114, timeP: 0.58273, SpeedUp: 1.00, Eff: 0.10, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 0.58114, timeP: 0.57985, SpeedUp: 1.00, Eff: 0.09, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 0.58114, timeP: 0.58013, SpeedUp: 1.00, Eff: 0.08, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 0.58114, timeP: 0.69182, SpeedUp: 0.84, Eff: 0.84, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 0.58114, timeP: 0.59990, SpeedUp: 0.97, Eff: 0.48, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 0.58114, timeP: 0.59331, SpeedUp: 0.98, Eff: 0.33, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 0.58114, timeP: 0.59694, SpeedUp: 0.97, Eff: 0.24, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 0.58114, timeP: 0.60553, SpeedUp: 0.96, Eff: 0.19, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 0.58114, timeP: 0.63196, SpeedUp: 0.92, Eff: 0.15, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 0.58114, timeP: 0.62130, SpeedUp: 0.94, Eff: 0.13, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 0.58114, timeP: 0.63925, SpeedUp: 0.91, Eff: 0.11, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 0.58114, timeP: 0.65266, SpeedUp: 0.89, Eff: 0.10, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 0.58114, timeP: 0.66378, SpeedUp: 0.88, Eff: 0.09, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 0.58114, timeP: 0.66175, SpeedUp: 0.88, Eff: 0.08, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 0.58114, timeP: 0.66321, SpeedUp: 0.88, Eff: 0.07, trueg: 1000
size: 100000000, g: 12, threads: 1, timeS: 0.56128, timeP: 0.66511, SpeedUp: 0.84, Eff: 0.84, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.56128, timeP: 0.56345, SpeedUp: 1.00, Eff: 0.50, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.56128, timeP: 0.51972, SpeedUp: 1.08, Eff: 0.36, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.56128, timeP: 0.51836, SpeedUp: 1.08, Eff: 0.27, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.56128, timeP: 0.54788, SpeedUp: 1.02, Eff: 0.20, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.56128, timeP: 0.55330, SpeedUp: 1.01, Eff: 0.17, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.56128, timeP: 0.53821, SpeedUp: 1.04, Eff: 0.15, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.56128, timeP: 0.55556, SpeedUp: 1.01, Eff: 0.13, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.56128, timeP: 0.54509, SpeedUp: 1.03, Eff: 0.11, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.56128, timeP: 0.53724, SpeedUp: 1.04, Eff: 0.10, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.56128, timeP: 0.54941, SpeedUp: 1.02, Eff: 0.09, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.56128, timeP: 0.54211, SpeedUp: 1.04, Eff: 0.09, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 0.56128, timeP: 0.62695, SpeedUp: 0.90, Eff: 0.90, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 0.56128, timeP: 0.52891, SpeedUp: 1.06, Eff: 0.53, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 0.56128, timeP: 0.52527, SpeedUp: 1.07, Eff: 0.36, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 0.56128, timeP: 0.53147, SpeedUp: 1.06, Eff: 0.26, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 0.56128, timeP: 0.53423, SpeedUp: 1.05, Eff: 0.21, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 0.56128, timeP: 0.53740, SpeedUp: 1.04, Eff: 0.17, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 0.56128, timeP: 0.54607, SpeedUp: 1.03, Eff: 0.15, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 0.56128, timeP: 0.56141, SpeedUp: 1.00, Eff: 0.12, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 0.56128, timeP: 0.56714, SpeedUp: 0.99, Eff: 0.11, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 0.56128, timeP: 0.57172, SpeedUp: 0.98, Eff: 0.10, trueg: 500
