size: 100000000, g: 12, threads: 1, timeS: 1.13711, timeP: 0.82668, SpeedUp: 1.38, Eff: 1.38, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 1.13711, timeP: 0.45589, SpeedUp: 2.49, Eff: 1.25, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 1.13711, timeP: 0.33256, SpeedUp: 3.42, Eff: 1.14, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 1.13711, timeP: 0.23115, SpeedUp: 4.92, Eff: 1.23, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 1.13711, timeP: 0.22735, SpeedUp: 5.00, Eff: 1.00, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 1.13711, timeP: 0.21475, SpeedUp: 5.30, Eff: 0.88, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 1.13711, timeP: 0.19426, SpeedUp: 5.85, Eff: 0.84, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 1.13711, timeP: 0.17337, SpeedUp: 6.56, Eff: 0.82, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 1.13711, timeP: 0.18644, SpeedUp: 6.10, Eff: 0.68, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 1.13711, timeP: 0.16322, SpeedUp: 6.97, Eff: 0.70, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 1.13711, timeP: 0.18349, SpeedUp: 6.20, Eff: 0.56, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 1.13711, timeP: 0.14691, SpeedUp: 7.74, Eff: 0.64, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 1.13711, timeP: 0.75519, SpeedUp: 1.51, Eff: 1.51, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 1.13711, timeP: 0.41225, SpeedUp: 2.76, Eff: 1.38, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 1.13711, timeP: 0.29822, SpeedUp: 3.81, Eff: 1.27, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 1.13711, timeP: 0.25490, SpeedUp: 4.46, Eff: 1.12, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 1.13711, timeP: 0.23484, SpeedUp: 4.84, Eff: 0.97, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 1.13711, timeP: 0.18192, SpeedUp: 6.25, Eff: 1.04, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 1.13711, timeP: 0.17940, SpeedUp: 6.34, Eff: 0.91, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 1.13711, timeP: 0.16919, SpeedUp: 6.72, Eff: 0.84, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 1.13711, timeP: 0.16370, SpeedUp: 6.95, Eff: 0.77, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 1.13711, timeP: 0.16006, SpeedUp: 7.10, Eff: 0.71, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 1.13711, timeP: 0.15729, SpeedUp: 7.23, Eff: 0.66, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 1.13711, timeP: 0.14702, SpeedUp: 7.73, Eff: 0.64, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 1.13711, timeP: 0.76195, SpeedUp: 1.49, Eff: 1.49, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 1.13711, timeP: 0.41207, SpeedUp: 2.76, Eff: 1.38, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 1.13711, timeP: 0.30063, SpeedUp: 3.78, Eff: 1.26, trueg: 1000
