size: 50000, g: 2, threads: 1, timeS: 0.00102, timeP: 0.00051, SpeedUp: 1.99, Eff: 1.99, trueg: 2
size: 50000, g: 2, threads: 2, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 2
size: 50000, g: 2, threads: 3, timeS: 0.00102, timeP: 0.00051, SpeedUp: 1.99, Eff: 0.66, trueg: 2
size: 50000, g: 2, threads: 4, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 2
size: 50000, g: 2, threads: 5, timeS: 0.00102, timeP: 0.00052, SpeedUp: 1.98, Eff: 0.40, trueg: 2
size: 50000, g: 2, threads: 6, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 2
size: 50000, g: 2, threads: 7, timeS: 0.00102, timeP: 0.00051, SpeedUp: 1.98, Eff: 0.28, trueg: 2
size: 50000, g: 2, threads: 8, timeS: 0.00102, timeP: 0.00052, SpeedUp: 1.96, Eff: 0.25, trueg: 2
size: 50000, g: 2, threads: 9, timeS: 0.00102, timeP: 0.00052, SpeedUp: 1.96, Eff: 0.22, trueg: 2
size: 50000, g: 2, threads: 10, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 2
size: 50000, g: 2, threads: 11, timeS: 0.00102, timeP: 0.00052, SpeedUp: 1.96, Eff: 0.18, trueg: 2
size: 50000, g: 2, threads: 12, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 2
size: 50000, g: 3, threads: 1, timeS: 0.00102, timeP: 0.00052, SpeedUp: 1.97, Eff: 1.97, trueg: 3
size: 50000, g: 3, threads: 2, timeS: 0.00102, timeP: 0.00051, SpeedUp: 2.00, Eff: 1.00, trueg: 3
size: 50000, g: 3, threads: 3, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 3
size: 50000, g: 3, threads: 4, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 3
size: 50000, g: 3, threads: 5, timeS: 0.00102, timeP: 0.00052, SpeedUp: 1.97, Eff: 0.39, trueg: 3
size: 50000, g: 3, threads: 6, timeS: 0.00102, timeP: 0.00052, SpeedUp: 1.97, Eff: 0.33, trueg: 3
size: 50000, g: 3, threads: 7, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 3
size: 50000, g: 3, threads: 8, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 3
size: 50000, g: 3, threads: 9, timeS: 0.00102, timeP: 0.00052, SpeedUp: 1.96, Eff: 0.22, trueg: 3
size: 50000, g: 3, threads: 10, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 3
size: 50000, g: 3, threads: 11, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 3
size: 50000, g: 3, threads: 12, timeS: 0.00102, timeP: 0.00000, SpeedUp: +Inf, Eff: +Inf, trueg: 3
size: 50000, g: 4, threads: 1, timeS: 0.00102, timeP: 0.00051, SpeedUp: 2.00, Eff: 2.00, trueg: 4
