size: 50000, g: 2, threads: 1, timeS: 0.00419, timeP: 0.00367, SpeedUp: 1.14, Eff: 1.14, trueg: 2
size: 50000, g: 2, threads: 2, timeS: 0.00419, timeP: 0.00263, SpeedUp: 1.59, Eff: 0.80, trueg: 2
size: 50000, g: 2, threads: 3, timeS: 0.00419, timeP: 0.00157, SpeedUp: 2.67, Eff: 0.89, trueg: 2
size: 50000, g: 2, threads: 4, timeS: 0.00419, timeP: 0.00209, SpeedUp: 2.01, Eff: 0.50, trueg: 2
size: 50000, g: 2, threads: 5, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.40, trueg: 2
size: 50000, g: 2, threads: 6, timeS: 0.00419, timeP: 0.00211, SpeedUp: 1.99, Eff: 0.33, trueg: 2
size: 50000, g: 2, threads: 7, timeS: 0.00419, timeP: 0.00207, SpeedUp: 2.03, Eff: 0.29, trueg: 2
size: 50000, g: 2, threads: 8, timeS: 0.00419, timeP: 0.00212, SpeedUp: 1.97, Eff: 0.25, trueg: 2
size: 50000, g: 2, threads: 9, timeS: 0.00419, timeP: 0.00215, SpeedUp: 1.95, Eff: 0.22, trueg: 2
size: 50000, g: 2, threads: 10, timeS: 0.00419, timeP: 0.00159, SpeedUp: 2.63, Eff: 0.26, trueg: 2
size: 50000, g: 2, threads: 11, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.18, trueg: 2
size: 50000, g: 2, threads: 12, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.17, trueg: 2
size: 50000, g: 3, threads: 1, timeS: 0.00419, timeP: 0.00260, SpeedUp: 1.61, Eff: 1.61, trueg: 3
size: 50000, g: 3, threads: 2, timeS: 0.00419, timeP: 0.00260, SpeedUp: 1.61, Eff: 0.81, trueg: 3
size: 50000, g: 3, threads: 3, timeS: 0.00419, timeP: 0.00211, SpeedUp: 1.99, Eff: 0.66, trueg: 3
size: 50000, g: 3, threads: 4, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.01, Eff: 0.50, trueg: 3
size: 50000, g: 3, threads: 5, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.01, Eff: 0.40, trueg: 3
size: 50000, g: 3, threads: 6, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.01, Eff: 0.34, trueg: 3
size: 50000, g: 3, threads: 7, timeS: 0.00419, timeP: 0.00218, SpeedUp: 1.92, Eff: 0.27, trueg: 3
size: 50000, g: 3, threads: 8, timeS: 0.00419, timeP: 0.00207, SpeedUp: 2.02, Eff: 0.25, trueg: 3
size: 50000, g: 3, threads: 9, timeS: 0.00419, timeP: 0.00157, SpeedUp: 2.67, Eff: 0.30, trueg: 3
size: 50000, g: 3, threads: 10, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.01, Eff: 0.20, trueg: 3
size: 50000, g: 3, threads: 11, timeS: 0.00419, timeP: 0.00216, SpeedUp: 1.94, Eff: 0.18, trueg: 3
size: 50000, g: 3, threads: 12, timeS: 0.00419, timeP: 0.00209, SpeedUp: 2.01, Eff: 0.17, trueg: 3
size: 50000, g: 4, threads: 1, timeS: 0.00419, timeP: 0.00313, SpeedUp: 1.34, Eff: 1.34, trueg: 4
size: 50000, g: 4, threads: 2, timeS: 0.00419, timeP: 0.00209, SpeedUp: 2.00, Eff: 1.00, trueg: 4
size: 50000, g: 4, threads: 3, timeS: 0.00419, timeP: 0.00157, SpeedUp: 2.67, Eff: 0.89, trueg: 4
size: 50000, g: 4, threads: 4, timeS: 0.00419, timeP: 0.00156, SpeedUp: 2.68, Eff: 0.67, trueg: 4
size: 50000, g: 4, threads: 5, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.40, trueg: 4
size: 50000, g: 4, threads: 6, timeS: 0.00419, timeP: 0.00164, SpeedUp: 2.56, Eff: 0.43, trueg: 4
size: 50000, g: 4, threads: 7, timeS: 0.00419, timeP: 0.00267, SpeedUp: 1.57, Eff: 0.22, trueg: 4
size: 50000, g: 4, threads: 8, timeS: 0.00419, timeP: 0.00157, SpeedUp: 2.67, Eff: 0.33, trueg: 4
size: 50000, g: 4, threads: 9, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.22, trueg: 4
size: 50000, g: 4, threads: 10, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.20, trueg: 4
size: 50000, g: 4, threads: 11, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.18, trueg: 4
size: 50000, g: 4, threads: 12, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.01, Eff: 0.17, trueg: 4
size: 50000, g: 5, threads: 1, timeS: 0.00419, timeP: 0.00367, SpeedUp: 1.14, Eff: 1.14, trueg: 5
size: 50000, g: 5, threads: 2, timeS: 0.00419, timeP: 0.00209, SpeedUp: 2.01, Eff: 1.00, trueg: 5
size: 50000, g: 5, threads: 3, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.67, trueg: 5
size: 50000, g: 5, threads: 4, timeS: 0.00419, timeP: 0.00214, SpeedUp: 1.96, Eff: 0.49, trueg: 5
size: 50000, g: 5, threads: 5, timeS: 0.00419, timeP: 0.00208, SpeedUp: 2.02, Eff: 0.40, trueg: 5
