size: 100000000, g: 12, threads: 1, timeS: 10.59855, timeP: 10.44030, SpeedUp: 1.02, Eff: 1.02, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 10.59855, timeP: 6.79905, SpeedUp: 1.56, Eff: 0.78, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 10.59855, timeP: 5.85824, SpeedUp: 1.81, Eff: 0.60, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 10.59855, timeP: 5.68783, SpeedUp: 1.86, Eff: 0.47, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 10.59855, timeP: 3.51186, SpeedUp: 3.02, Eff: 0.60, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 10.59855, timeP: 5.69774, SpeedUp: 1.86, Eff: 0.31, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 10.59855, timeP: 5.70824, SpeedUp: 1.86, Eff: 0.27, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 10.59855, timeP: 3.61072, SpeedUp: 2.94, Eff: 0.37, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 10.59855, timeP: 5.75909, SpeedUp: 1.84, Eff: 0.20, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 10.59855, timeP: 3.51557, SpeedUp: 3.01, Eff: 0.30, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 10.59855, timeP: 3.53380, SpeedUp: 3.00, Eff: 0.27, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 10.59855, timeP: 3.49053, SpeedUp: 3.04, Eff: 0.25, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 10.59855, timeP: 10.40847, SpeedUp: 1.02, Eff: 1.02, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 10.59855, timeP: 5.92541, SpeedUp: 1.79, Eff: 0.89, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 10.59855, timeP: 4.91387, SpeedUp: 2.16, Eff: 0.72, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 10.59855, timeP: 3.66960, SpeedUp: 2.89, Eff: 0.72, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 10.59855, timeP: 3.40216, SpeedUp: 3.12, Eff: 0.62, trueg: 500
