size: 100000000, g: 12, threads: 1, timeS: 7.74238, timeP: 7.73109, SpeedUp: 1.00, Eff: 1.00, trueg: 3
size: 100000000, g: 12, threads: 2, timeS: 7.74238, timeP: 4.12176, SpeedUp: 1.88, Eff: 0.94, trueg: 0
size: 100000000, g: 12, threads: 3, timeS: 7.74238, timeP: 3.27709, SpeedUp: 2.36, Eff: 0.79, trueg: 3
size: 100000000, g: 12, threads: 4, timeS: 7.74238, timeP: 4.32310, SpeedUp: 1.79, Eff: 0.45, trueg: 0
size: 100000000, g: 12, threads: 5, timeS: 7.74238, timeP: 2.66517, SpeedUp: 2.91, Eff: 0.58, trueg: 5
size: 100000000, g: 12, threads: 6, timeS: 7.74238, timeP: 4.33819, SpeedUp: 1.78, Eff: 0.30, trueg: 0
size: 100000000, g: 12, threads: 7, timeS: 7.74238, timeP: 4.06960, SpeedUp: 1.90, Eff: 0.27, trueg: 4
size: 100000000, g: 12, threads: 8, timeS: 7.74238, timeP: 4.01045, SpeedUp: 1.93, Eff: 0.24, trueg: 5
size: 100000000, g: 12, threads: 9, timeS: 7.74238, timeP: 4.40861, SpeedUp: 1.76, Eff: 0.20, trueg: 0
size: 100000000, g: 12, threads: 10, timeS: 7.74238, timeP: 4.46689, SpeedUp: 1.73, Eff: 0.17, trueg: 4
size: 100000000, g: 12, threads: 11, timeS: 7.74238, timeP: 4.53193, SpeedUp: 1.71, Eff: 0.16, trueg: 1
size: 100000000, g: 12, threads: 12, timeS: 7.74238, timeP: 3.27030, SpeedUp: 2.37, Eff: 0.20, trueg: 4
size: 100000000, g: 500, threads: 1, timeS: 7.74238, timeP: 8.44841, SpeedUp: 0.92, Eff: 0.92, trueg: 10
size: 100000000, g: 500, threads: 2, timeS: 7.74238, timeP: 4.91102, SpeedUp: 1.58, Eff: 0.79, trueg: 0
size: 100000000, g: 500, threads: 3, timeS: 7.74238, timeP: 3.16078, SpeedUp: 2.45, Eff: 0.82, trueg: 6
size: 100000000, g: 500, threads: 4, timeS: 7.74238, timeP: 2.77234, SpeedUp: 2.79, Eff: 0.70, trueg: 1
size: 100000000, g: 500, threads: 5, timeS: 7.74238, timeP: 2.24081, SpeedUp: 3.46, Eff: 0.69, trueg: 2
size: 100000000, g: 500, threads: 6, timeS: 7.74238, timeP: 2.04340, SpeedUp: 3.79, Eff: 0.63, trueg: 0
size: 100000000, g: 500, threads: 7, timeS: 7.74238, timeP: 1.81421, SpeedUp: 4.27, Eff: 0.61, trueg: 7
size: 100000000, g: 500, threads: 8, timeS: 7.74238, timeP: 2.85130, SpeedUp: 2.72, Eff: 0.34, trueg: 2
size: 100000000, g: 500, threads: 9, timeS: 7.74238, timeP: 1.76568, SpeedUp: 4.38, Eff: 0.49, trueg: 0
size: 100000000, g: 500, threads: 10, timeS: 7.74238, timeP: 2.78243, SpeedUp: 2.78, Eff: 0.28, trueg: 9
size: 100000000, g: 500, threads: 11, timeS: 7.74238, timeP: 1.46453, SpeedUp: 5.29, Eff: 0.48, trueg: 0
size: 100000000, g: 500, threads: 12, timeS: 7.74238, timeP: 1.95241, SpeedUp: 3.97, Eff: 0.33, trueg: 0
size: 100000000, g: 1000, threads: 1, timeS: 7.74238, timeP: 7.92228, SpeedUp: 0.98, Eff: 0.98, trueg: 19
size: 100000000, g: 1000, threads: 2, timeS: 7.74238, timeP: 4.79483, SpeedUp: 1.61, Eff: 0.81, trueg: 9
size: 100000000, g: 1000, threads: 3, timeS: 7.74238, timeP: 3.31924, SpeedUp: 2.33, Eff: 0.78, trueg: 0
size: 100000000, g: 1000, threads: 4, timeS: 7.74238, timeP: 2.51470, SpeedUp: 3.08, Eff: 0.77, trueg: 7
size: 100000000, g: 1000, threads: 5, timeS: 7.74238, timeP: 2.15355, SpeedUp: 3.60, Eff: 0.72, trueg: 0
size: 100000000, g: 1000, threads: 6, timeS: 7.74238, timeP: 1.96465, SpeedUp: 3.94, Eff: 0.66, trueg: 1
