size: 50000, g: 2, threads: 1, timeS: 0.00313, timeP: 0.00259, SpeedUp: 1.21, Eff: 1.21, trueg: 0
size: 50000, g: 2, threads: 2, timeS: 0.00313, timeP: 0.00156, SpeedUp: 2.01, Eff: 1.01, trueg: 2
size: 50000, g: 2, threads: 3, timeS: 0.00313, timeP: 0.00213, SpeedUp: 1.47, Eff: 0.49, trueg: 2
size: 50000, g: 2, threads: 4, timeS: 0.00313, timeP: 0.00207, SpeedUp: 1.51, Eff: 0.38, trueg: 2
size: 50000, g: 2, threads: 5, timeS: 0.00313, timeP: 0.00156, SpeedUp: 2.01, Eff: 0.40, trueg: 2
size: 50000, g: 2, threads: 6, timeS: 0.00313, timeP: 0.00210, SpeedUp: 1.49, Eff: 0.25, trueg: 2
size: 50000, g: 2, threads: 7, timeS: 0.00313, timeP: 0.00260, SpeedUp: 1.20, Eff: 0.17, trueg: 2
size: 50000, g: 2, threads: 8, timeS: 0.00313, timeP: 0.00209, SpeedUp: 1.50, Eff: 0.19, trueg: 2
size: 50000, g: 2, threads: 9, timeS: 0.00313, timeP: 0.00265, SpeedUp: 1.18, Eff: 0.13, trueg: 2
size: 50000, g: 2, threads: 10, timeS: 0.00313, timeP: 0.00264, SpeedUp: 1.18, Eff: 0.12, trueg: 2
size: 50000, g: 2, threads: 11, timeS: 0.00313, timeP: 0.00211, SpeedUp: 1.49, Eff: 0.14, trueg: 2
size: 50000, g: 2, threads: 12, timeS: 0.00313, timeP: 0.00260, SpeedUp: 1.20, Eff: 0.10, trueg: 2
size: 50000, g: 3, threads: 1, timeS: 0.00313, timeP: 0.00259, SpeedUp: 1.21, Eff: 1.21, trueg: 0
size: 50000, g: 3, threads: 2, timeS: 0.00313, timeP: 0.00207, SpeedUp: 1.51, Eff: 0.76, trueg: 1
size: 50000, g: 3, threads: 3, timeS: 0.00313, timeP: 0.00208, SpeedUp: 1.51, Eff: 0.50, trueg: 2
size: 50000, g: 3, threads: 4, timeS: 0.00313, timeP: 0.00263, SpeedUp: 1.19, Eff: 0.30, trueg: 2
size: 50000, g: 3, threads: 5, timeS: 0.00313, timeP: 0.00208, SpeedUp: 1.50, Eff: 0.30, trueg: 2
size: 50000, g: 3, threads: 6, timeS: 0.00313, timeP: 0.00207, SpeedUp: 1.52, Eff: 0.25, trueg: 2
size: 50000, g: 3, threads: 7, timeS: 0.00313, timeP: 0.00206, SpeedUp: 1.52, Eff: 0.22, trueg: 2
size: 50000, g: 3, threads: 8, timeS: 0.00313, timeP: 0.00206, SpeedUp: 1.52, Eff: 0.19, trueg: 2
size: 50000, g: 3, threads: 9, timeS: 0.00313, timeP: 0.00208, SpeedUp: 1.51, Eff: 0.17, trueg: 2
size: 50000, g: 3, threads: 10, timeS: 0.00313, timeP: 0.00156, SpeedUp: 2.01, Eff: 0.20, trueg: 1
size: 50000, g: 3, threads: 11, timeS: 0.00313, timeP: 0.00261, SpeedUp: 1.20, Eff: 0.11, trueg: 2
size: 50000, g: 3, threads: 12, timeS: 0.00313, timeP: 0.00151, SpeedUp: 2.07, Eff: 0.17, trueg: 2
size: 50000, g: 4, threads: 1, timeS: 0.00313, timeP: 0.00301, SpeedUp: 1.04, Eff: 1.04, trueg: 2
size: 50000, g: 4, threads: 2, timeS: 0.00313, timeP: 0.00150, SpeedUp: 2.08, Eff: 1.04, trueg: 3
size: 50000, g: 4, threads: 3, timeS: 0.00313, timeP: 0.00200, SpeedUp: 1.56, Eff: 0.52, trueg: 3
size: 50000, g: 4, threads: 4, timeS: 0.00313, timeP: 0.00100, SpeedUp: 3.13, Eff: 0.78, trueg: 3
size: 50000, g: 4, threads: 5, timeS: 0.00313, timeP: 0.00200, SpeedUp: 1.57, Eff: 0.31, trueg: 3
