size: 100000000, g: 12, threads: 1, timeS: 6.04742, timeP: 10.90614, SpeedUp: 0.55, Eff: 0.55, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 6.04742, timeP: 6.96259, SpeedUp: 0.87, Eff: 0.43, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 6.04742, timeP: 4.31455, SpeedUp: 1.40, Eff: 0.47, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 6.04742, timeP: 6.00353, SpeedUp: 1.01, Eff: 0.25, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 6.04742, timeP: 5.91356, SpeedUp: 1.02, Eff: 0.20, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 6.04742, timeP: 5.89900, SpeedUp: 1.03, Eff: 0.17, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 6.04742, timeP: 3.62556, SpeedUp: 1.67, Eff: 0.24, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 6.04742, timeP: 5.92546, SpeedUp: 1.02, Eff: 0.13, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 6.04742, timeP: 3.59218, SpeedUp: 1.68, Eff: 0.19, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 6.04742, timeP: 3.61377, SpeedUp: 1.67, Eff: 0.17, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 6.04742, timeP: 3.57823, SpeedUp: 1.69, Eff: 0.15, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 6.04742, timeP: 3.64900, SpeedUp: 1.66, Eff: 0.14, trueg: 12
size: 100000000, g: 500, threads: 1, timeS: 6.04742, timeP: 10.87121, SpeedUp: 0.56, Eff: 0.56, trueg: 500
size: 100000000, g: 500, threads: 2, timeS: 6.04742, timeP: 6.12235, SpeedUp: 0.99, Eff: 0.49, trueg: 500
size: 100000000, g: 500, threads: 3, timeS: 6.04742, timeP: 4.33457, SpeedUp: 1.40, Eff: 0.47, trueg: 500
size: 100000000, g: 500, threads: 4, timeS: 6.04742, timeP: 3.63444, SpeedUp: 1.66, Eff: 0.42, trueg: 500
size: 100000000, g: 500, threads: 5, timeS: 6.04742, timeP: 4.10236, SpeedUp: 1.47, Eff: 0.29, trueg: 500
size: 100000000, g: 500, threads: 6, timeS: 6.04742, timeP: 2.98285, SpeedUp: 2.03, Eff: 0.34, trueg: 500
size: 100000000, g: 500, threads: 7, timeS: 6.04742, timeP: 2.88509, SpeedUp: 2.10, Eff: 0.30, trueg: 500
size: 100000000, g: 500, threads: 8, timeS: 6.04742, timeP: 2.79714, SpeedUp: 2.16, Eff: 0.27, trueg: 500
size: 100000000, g: 500, threads: 9, timeS: 6.04742, timeP: 2.69103, SpeedUp: 2.25, Eff: 0.25, trueg: 500
size: 100000000, g: 500, threads: 10, timeS: 6.04742, timeP: 2.72544, SpeedUp: 2.22, Eff: 0.22, trueg: 500
size: 100000000, g: 500, threads: 11, timeS: 6.04742, timeP: 2.75025, SpeedUp: 2.20, Eff: 0.20, trueg: 500
size: 100000000, g: 500, threads: 12, timeS: 6.04742, timeP: 3.01745, SpeedUp: 2.00, Eff: 0.17, trueg: 500
size: 100000000, g: 1000, threads: 1, timeS: 6.04742, timeP: 10.70849, SpeedUp: 0.56, Eff: 0.56, trueg: 1000
size: 100000000, g: 1000, threads: 2, timeS: 6.04742, timeP: 5.91308, SpeedUp: 1.02, Eff: 0.51, trueg: 1000
size: 100000000, g: 1000, threads: 3, timeS: 6.04742, timeP: 4.71451, SpeedUp: 1.28, Eff: 0.43, trueg: 1000
size: 100000000, g: 1000, threads: 4, timeS: 6.04742, timeP: 3.52773, SpeedUp: 1.71, Eff: 0.43, trueg: 1000
size: 100000000, g: 1000, threads: 5, timeS: 6.04742, timeP: 3.13751, SpeedUp: 1.93, Eff: 0.39, trueg: 1000
size: 100000000, g: 1000, threads: 6, timeS: 6.04742, timeP: 3.04546, SpeedUp: 1.99, Eff: 0.33, trueg: 1000
size: 100000000, g: 1000, threads: 7, timeS: 6.04742, timeP: 3.03866, SpeedUp: 1.99, Eff: 0.28, trueg: 1000
size: 100000000, g: 1000, threads: 8, timeS: 6.04742, timeP: 2.84576, SpeedUp: 2.13, Eff: 0.27, trueg: 1000
size: 100000000, g: 1000, threads: 9, timeS: 6.04742, timeP: 2.88997, SpeedUp: 2.09, Eff: 0.23, trueg: 1000
size: 100000000, g: 1000, threads: 10, timeS: 6.04742, timeP: 4.20213, SpeedUp: 1.44, Eff: 0.14, trueg: 1000
size: 100000000, g: 1000, threads: 11, timeS: 6.04742, timeP: 3.35721, SpeedUp: 1.80, Eff: 0.16, trueg: 1000
size: 100000000, g: 1000, threads: 12, timeS: 6.04742, timeP: 2.86085, SpeedUp: 2.11, Eff: 0.18, trueg: 1000
